"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.307090665271162 0.307090665271162
94 "143" "90" "150" "13" "152" 140 0.200545870302326 0.200545870302326
94 "143" "90" "150" "152" "13" 140 0.0251970449723128 0.0251970449723128
94 "143" "90" "150" "140" "152" 13 0.000777065621735391 0.000777065621735391
94 "140" "143" "90" "13" "150" 152 0.0121792807859775 0.0121792807859775
94 "140" "143" "90" "152" "13" 150 0.000417670302272303 0.000417670302272303
94 "140" "143" "90" "152" "150" 13 0.000128513939160709 0.000128513939160709
94 "140" "143" "90" "13" "152" 150 0.00966808887134296 0.00966808887134296
94 "143" "90" "150" "140" "13" 152 0.000568879816535255 0.000568879816535255
94 "143" "90" "150" "152" "140" 13 3.94319952618354e-05 3.94319952618354e-05
94 "140" "143" "90" "150" "152" 13 0.0386439595559348 0.0386439595559348
