"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.302366418165765 0.302366418165765
94 "143" "90" "150" "13" "152" 140 0.193038036979837 0.193038036979837
94 "143" "90" "150" "152" "13" 140 0.0206596398385538 0.0206596398385538
94 "143" "90" "150" "140" "152" 13 0.000173446171377007 0.000173446171377007
94 "140" "143" "90" "13" "150" 152 0.00625552725147161 0.00625552725147161
94 "140" "143" "90" "13" "152" 150 0.00483163485919291 0.00483163485919291
94 "143" "90" "150" "140" "13" 152 0.000149865876174695 0.000149865876174695
94 "143" "90" "150" "152" "140" 13 3.23312047551703e-05 3.23312047551703e-05
94 "143" "90" "150" "13" "140" 152 0.000302567456081249 0.000302567456081249
94 "140" "143" "90" "150" "152" 13 0.0323602855562023 0.0323602855562023
