"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.333414875913358 0.333414875913358
94 "143" "90" "150" "13" "152" 140 0.22119257496248 0.22119257496248
94 "143" "90" "150" "152" "13" 140 0.0166432249121975 0.0166432249121975
94 "143" "90" "150" "140" "152" 13 0.000234949949790562 0.000234949949790562
94 "140" "143" "90" "13" "150" 152 0.0123908833823338 0.0123908833823338
94 "140" "143" "90" "152" "13" 150 0.000445653041578397 0.000445653041578397
94 "140" "143" "90" "152" "150" 13 0.000136266987713394 0.000136266987713394
94 "140" "143" "90" "13" "152" 150 0.00972207773075424 0.00972207773075424
94 "143" "90" "150" "140" "13" 152 0.000134899492702715 0.000134899492702715
94 "143" "90" "150" "13" "140" 152 0.000347241090992905 0.000347241090992905
94 "140" "143" "90" "150" "152" 13 0.0250478621303858 0.0250478621303858
