"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.29390961851627 0.29390961851627
94 "143" "90" "150" "13" "152" 140 0.176918221938923 0.176918221938923
94 "143" "90" "150" "152" "13" 140 0.0347517935951457 0.0347517935951457
94 "143" "90" "150" "140" "152" 13 0.000571905973850183 0.000571905973850183
94 "140" "143" "90" "13" "150" 152 0.0136096506239025 0.0136096506239025
94 "140" "143" "90" "152" "13" 150 0.000484604752026848 0.000484604752026848
94 "140" "143" "90" "152" "150" 13 7.80222319900112e-05 7.80222319900112e-05
94 "140" "143" "90" "13" "152" 150 0.0100206827048055 0.0100206827048055
94 "143" "90" "150" "140" "13" 152 0.000375870215108335 0.000375870215108335
94 "140" "143" "90" "150" "152" 13 0.0577322464942672 0.0577322464942672
