"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.342992321524938 0.342992321524938
94 "143" "90" "150" "13" "152" 140 0.181470939516927 0.181470939516927
94 "143" "90" "150" "152" "13" 140 0.0169939341353644 0.0169939341353644
94 "143" "90" "150" "140" "152" 13 0.000199646782605315 0.000199646782605315
94 "140" "143" "90" "13" "150" 152 0.0115492610265412 0.0115492610265412
94 "140" "143" "90" "152" "13" 150 0.000454183830443443 0.000454183830443443
94 "140" "143" "90" "152" "150" 13 0.000140288441835812 0.000140288441835812
94 "140" "143" "90" "13" "152" 150 0.00925726850323275 0.00925726850323275
94 "143" "90" "150" "140" "13" 152 0.000103816326954764 0.000103816326954764
94 "140" "143" "90" "150" "152" 13 0.0321196822832718 0.0321196822832718
