"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.296881249360224 0.296881249360224
94 "143" "90" "150" "13" "152" 140 0.170401374298954 0.170401374298954
94 "143" "90" "150" "152" "13" 140 0.0292094334326527 0.0292094334326527
94 "143" "90" "150" "140" "152" 13 0.000168502438833342 0.000168502438833342
94 "140" "143" "90" "13" "150" 152 0.0169158047398566 0.0169158047398566
94 "140" "143" "90" "152" "13" 150 0.000443552772731634 0.000443552772731634
94 "140" "143" "90" "152" "150" 13 0.000138127652630161 0.000138127652630161
94 "140" "143" "90" "13" "152" 150 0.0133315773789567 0.0133315773789567
94 "143" "90" "150" "140" "13" 152 0.000116419866830309 0.000116419866830309
94 "143" "90" "150" "152" "140" 13 0.000137564050703231 0.000137564050703231
94 "143" "90" "150" "13" "140" 152 0.000267086793572029 0.000267086793572029
94 "140" "143" "90" "150" "152" 13 0.0515453254314912 0.0515453254314912
