"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.280059959630986 0.280059959630986
94 "143" "90" "150" "13" "152" 140 0.181462159437651 0.181462159437651
94 "143" "90" "150" "152" "13" 140 0.0263559396846004 0.0263559396846004
94 "143" "90" "150" "140" "152" 13 0.000173624827463256 0.000173624827463256
94 "140" "143" "90" "13" "150" 152 0.0125194222071142 0.0125194222071142
94 "140" "143" "90" "152" "13" 150 0.000407347047093472 0.000407347047093472
94 "140" "143" "90" "152" "150" 13 0.000124554193245889 0.000124554193245889
94 "140" "143" "90" "13" "152" 150 0.00982042988713894 0.00982042988713894
94 "143" "90" "150" "140" "13" 152 0.000129317007991921 0.000129317007991921
94 "140" "143" "90" "150" "152" 13 0.040676488293649 0.040676488293649
