"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.317363772222001 0.317363772222001
94 "143" "90" "150" "13" "152" 140 0.200704085790628 0.200704085790628
94 "143" "90" "150" "152" "13" 140 0.0238693301359039 0.0238693301359039
94 "143" "90" "150" "140" "152" 13 0.000397525063288423 0.000397525063288423
94 "140" "143" "90" "13" "150" 152 0.0115151259793114 0.0115151259793114
94 "140" "143" "90" "13" "152" 150 0.00911119504033146 0.00911119504033146
94 "143" "90" "150" "140" "13" 152 0.000275902664321993 0.000275902664321993
94 "143" "90" "150" "152" "140" 13 3.73541942658903e-05 3.73541942658903e-05
94 "143" "90" "150" "13" "140" 152 0.000314090901080796 0.000314090901080796
94 "140" "143" "90" "150" "152" 13 0.0377434301972564 0.0377434301972564
