"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.339401645877991 0.339401645877991
94 "143" "90" "150" "13" "152" 140 0.21407037516354 0.21407037516354
94 "143" "90" "150" "152" "13" 140 0.0189411647246008 0.0189411647246008
94 "143" "90" "150" "140" "152" 13 0.000185391569613998 0.000185391569613998
94 "140" "143" "90" "13" "150" 152 0.00818854763420786 0.00818854763420786
94 "140" "143" "90" "13" "152" 150 0.00628763479055247 0.00628763479055247
94 "143" "90" "150" "140" "13" 152 0.000172548177743149 0.000172548177743149
94 "143" "90" "150" "152" "140" 13 2.96418853280137e-05 2.96418853280137e-05
94 "143" "90" "150" "13" "140" 152 0.000335533503391128 0.000335533503391128
94 "140" "143" "90" "150" "152" 13 0.0300305296018924 0.0300305296018924
