"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.288954748206297 0.288954748206297
94 "143" "90" "150" "13" "152" 140 0.164680317145682 0.164680317145682
94 "143" "90" "150" "152" "13" 140 0.0290965583304091 0.0290965583304091
94 "140" "143" "90" "13" "150" 152 0.0126524369714693 0.0126524369714693
94 "140" "143" "90" "152" "13" 150 0.000846742459938567 0.000846742459938567
94 "140" "143" "90" "152" "150" 13 0.000261038137938672 0.000261038137938672
94 "140" "143" "90" "13" "152" 150 0.0100570652850141 0.0100570652850141
94 "143" "90" "150" "152" "140" 13 4.55345200788875e-05 4.55345200788875e-05
94 "140" "143" "90" "150" "152" 13 0.0511338953420157 0.0511338953420157
