"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.317665037084583 0.317665037084583
94 "143" "90" "150" "13" "152" 140 0.191807372521628 0.191807372521628
94 "143" "90" "150" "152" "13" 140 0.0210988109773791 0.0210988109773791
94 "140" "143" "90" "13" "150" 152 0.013044787886146 0.013044787886146
94 "140" "143" "90" "152" "13" 150 0.000440762362087624 0.000440762362087624
94 "140" "143" "90" "152" "150" 13 0.000118046181753718 0.000118046181753718
94 "140" "143" "90" "13" "152" 150 0.00986636241134903 0.00986636241134903
94 "143" "90" "150" "152" "140" 13 3.30184835326746e-05 3.30184835326746e-05
94 "143" "90" "150" "13" "140" 152 0.000300168032115224 0.000300168032115224
94 "140" "143" "90" "150" "152" 13 0.0349431540793042 0.0349431540793042
