"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.302919165517645 0.302919165517645
94 "143" "90" "150" "13" "152" 140 0.219054920581904 0.219054920581904
94 "143" "90" "150" "152" "13" 140 0.0212106600897336 0.0212106600897336
94 "143" "90" "150" "140" "152" 13 0.000198750563059723 0.000198750563059723
94 "140" "143" "90" "13" "150" 152 0.0105434330727534 0.0105434330727534
94 "140" "143" "90" "152" "13" 150 0.000400036405558022 0.000400036405558022
94 "140" "143" "90" "152" "150" 13 0.000121549523227245 0.000121549523227245
94 "140" "143" "90" "13" "152" 150 0.00823366036351619 0.00823366036351619
94 "143" "90" "150" "140" "13" 152 0.000166950472970167 0.000166950472970167
94 "140" "143" "90" "150" "152" 13 0.02933107111857 0.02933107111857
