"P1" "P2" "P3" "P4" "P5" "P6" "P7"
1 0.681538461538462 0.652366863905325 0.850609756097561 0.93343653250774 0.922958397534669 1
1 0.316923076923077 0.760772659732541 0.93343653250774 0.921538461538462 1 1
1 0.316923076923077 0.760772659732541 0.93343653250774 0.0769230769230769 1 1
1 0.316923076923077 0.760772659732541 0.93343653250774 0.00153846153846154 0.502362204724409 1
1 0.681538461538462 0.652366863905325 0.850609756097561 0.065015479876161 0.56 1
1 0.681538461538462 0.652366863905325 0.850609756097561 0.00154798761609907 0.765832106038292 1
1 0.681538461538462 0.652366863905325 0.850609756097561 0.00154798761609907 0.234167893961708 1
1 0.681538461538462 0.652366863905325 0.850609756097561 0.065015479876161 0.44 1
1 0.316923076923077 0.760772659732541 0.93343653250774 0.00153846153846154 0.497637795275591 1
1 0.681538461538462 0.652366863905325 0.850609756097561 0.93343653250774 0.0770416024653313 1
