"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.348077230843852 0.348077230843852
94 "143" "90" "150" "13" "152" 140 0.179101018049746 0.179101018049746
94 "143" "90" "150" "152" "13" 140 0.0128785012978915 0.0128785012978915
94 "143" "90" "150" "140" "152" 13 0.000172108524289489 0.000172108524289489
94 "140" "143" "90" "13" "150" 152 0.00494727852506295 0.00494727852506295
94 "140" "143" "90" "152" "13" 150 0.000948868888902205 0.000948868888902205
94 "140" "143" "90" "152" "150" 13 0.00022626873504591 0.00022626873504591
94 "140" "143" "90" "13" "152" 150 0.00386625365454791 0.00386625365454791
94 "143" "90" "150" "140" "13" 152 0.000127391505894033 0.000127391505894033
94 "140" "143" "90" "150" "152" 13 0.025028964759675 0.025028964759675
