"sender" "receiver" "channel" "packetnum" "rssi"
0 1 23 9 -52
0 1 23 10 -52
0 1 24 1 -59
0 1 24 2 -59
0 1 24 3 -59
0 1 24 4 -59
0 1 24 5 -59
0 1 24 6 -59
0 1 24 7 -59
0 1 24 8 -59
0 1 24 9 -59
0 1 24 10 -59
0 1 25 1 -53
0 1 25 2 -53
0 1 25 3 -53
0 1 25 4 -53
0 1 25 5 -53
0 1 25 6 -53
0 1 25 7 -53
0 1 25 8 -53
0 1 25 9 -53
0 1 25 10 -53
0 1 26 1 -69
0 1 26 2 -69
0 1 26 3 -69
0 1 26 4 -69
0 1 26 5 -69
0 1 26 6 -69
0 1 26 7 -69
0 1 26 8 -69
0 1 26 9 -69
0 1 26 10 -69
0 11 11 1 -62
0 11 11 2 -62
0 11 11 3 -62
0 11 11 4 -62
0 11 11 5 -62
0 11 11 6 -62
0 11 11 7 -62
0 11 11 8 -62
0 11 11 9 -62
0 11 11 10 -62
0 11 12 1 -58
0 11 12 2 -58
0 11 12 3 -58
0 11 12 4 -58
0 11 12 5 -58
0 11 12 6 -58
0 11 12 7 -58
0 11 12 8 -58
0 11 12 9 -58
0 11 12 10 -58
0 11 13 1 -57
0 11 13 2 -57
0 11 13 3 -57
0 11 13 4 -57
0 11 13 5 -57
0 11 13 6 -57
0 11 13 7 -57
0 11 13 8 -57
0 11 13 9 -57
0 11 13 10 -57
0 11 14 1 -59
0 11 14 2 -59
0 11 14 3 -59
0 11 14 4 -59
0 11 14 5 -59
0 11 14 6 -59
0 11 14 7 -59
0 11 14 8 -59
0 11 14 9 -59
0 11 14 10 -59
0 11 15 1 -59
0 11 15 2 -59
0 11 15 3 -59
0 11 15 4 -59
0 11 15 5 -59
0 11 15 6 -59
0 11 15 7 -59
0 11 15 8 -59
0 11 15 9 -59
0 11 15 10 -59
0 11 16 1 -61
0 11 16 2 -61
0 11 16 3 -61
0 11 16 4 -61
0 11 16 5 -61
0 11 16 6 -61
0 11 16 7 -61
0 11 16 8 -61
0 11 16 9 -61
0 11 16 10 -61
0 11 17 1 -60
0 11 17 2 -60
0 11 17 3 -60
0 11 17 4 -60
0 11 17 5 -60
0 11 17 6 -60
0 11 17 7 -60
0 11 17 8 -60
0 11 17 9 -60
0 11 17 10 -60
0 11 18 1 -56
0 11 18 2 -56
0 11 18 3 -56
0 11 18 4 -56
0 11 18 5 -56
0 11 18 6 -56
0 11 18 7 -56
0 11 18 8 -56
0 11 18 9 -56
0 11 18 10 -56
0 11 19 1 -61
0 11 19 2 -61
0 11 19 3 -61
0 11 19 4 -61
0 11 19 5 -61
0 11 19 6 -61
0 11 19 7 -61
0 11 19 8 -61
0 11 19 9 -61
0 11 19 10 -61
0 11 20 1 -63
0 11 20 2 -63
0 11 20 3 -63
0 11 20 4 -63
0 11 20 5 -63
0 11 20 6 -63
0 11 20 7 -63
0 11 20 8 -63
0 11 20 9 -63
0 11 20 10 -63
0 11 21 1 -74
0 11 21 2 -74
0 11 21 3 -74
0 11 21 4 -74
0 11 21 5 -74
0 11 21 6 -74
0 11 21 7 -73
0 11 21 8 -74
0 11 21 9 -74
0 11 21 10 -74
0 11 22 1 -73
0 11 22 2 -73
0 11 22 3 -73
0 11 22 4 -73
0 11 22 5 -73
0 11 22 6 -73
0 11 22 7 -73
0 11 22 8 -73
0 11 22 9 -73
0 11 22 10 -73
0 11 23 1 -76
0 11 23 2 -77
0 11 23 3 -76
0 11 23 4 -77
0 11 23 5 -77
0 11 23 6 -77
0 11 23 7 -77
0 11 23 8 -77
0 11 23 9 -77
0 11 23 10 -76
0 11 24 1 -62
0 11 24 2 -62
0 11 24 3 -62
0 11 24 4 -62
0 11 24 5 -62
0 11 24 6 -62
0 11 24 7 -62
0 11 24 8 -62
0 11 24 9 -62
0 11 24 10 -62
0 11 25 1 -60
0 11 25 2 -60
0 11 25 3 -60
0 11 25 4 -60
0 11 25 5 -60
0 11 25 6 -60
0 11 25 7 -60
0 11 25 8 -60
0 11 25 9 -60
0 11 25 10 -60
0 11 26 1 -59
0 11 26 2 -59
0 11 26 3 -59
0 11 26 4 -59
0 11 26 5 -59
0 11 26 6 -59
0 11 26 7 -59
0 11 26 8 -59
0 11 26 9 -59
0 11 26 10 -59
0 2 11 1 -67
0 2 11 2 -67
0 2 11 3 -67
0 2 11 4 -67
0 2 11 5 -67
0 2 11 6 -67
0 2 11 7 -67
0 2 11 8 -67
0 2 11 9 -67
0 2 11 10 -67
0 2 12 1 -69
0 2 12 2 -69
0 2 12 3 -69
0 2 12 4 -69
0 2 12 5 -69
0 2 12 6 -69
0 2 12 7 -69
0 2 12 8 -69
0 2 12 9 -69
0 2 12 10 -69
0 2 13 1 -69
0 2 13 2 -69
0 2 13 3 -69
0 2 13 4 -69
0 2 13 5 -69
0 2 13 6 -69
0 2 13 7 -69
0 2 13 8 -69
0 2 13 9 -69
0 2 13 10 -69
0 2 14 1 -71
0 2 14 2 -71
0 2 14 3 -71
0 2 14 4 -71
0 2 14 5 -71
0 2 14 6 -71
0 2 14 7 -71
0 2 14 8 -71
0 2 14 9 -71
0 2 14 10 -71
0 2 15 1 -62
0 2 15 2 -62
0 2 15 3 -62
0 2 15 4 -62
0 2 15 5 -62
0 2 15 6 -62
0 2 15 7 -62
0 2 15 8 -62
0 2 15 9 -62
0 2 15 10 -62
0 2 16 1 -67
0 2 16 2 -67
0 2 16 3 -67
0 2 16 4 -67
0 2 16 5 -67
0 2 16 6 -67
0 2 16 7 -67
0 2 16 8 -67
0 2 16 9 -67
0 2 16 10 -67
0 2 17 1 -66
0 2 17 2 -67
0 2 17 3 -67
0 2 17 4 -67
0 2 17 5 -67
0 2 17 6 -67
0 2 17 7 -67
0 2 17 8 -67
0 2 17 9 -67
0 2 17 10 -67
0 2 18 1 -67
0 2 18 2 -67
0 2 18 3 -67
0 2 18 4 -67
0 2 18 5 -67
0 2 18 6 -67
0 2 18 7 -67
0 2 18 8 -67
0 2 18 9 -67
0 2 18 10 -67
0 2 19 1 -67
0 2 19 2 -67
0 2 19 3 -67
0 2 19 4 -67
0 2 19 5 -67
0 2 19 6 -67
0 2 19 7 -67
0 2 19 8 -67
0 2 19 9 -67
0 2 19 10 -67
0 2 20 1 -72
0 2 20 2 -72
0 2 20 3 -72
0 2 20 4 -72
0 2 20 5 -72
0 2 20 6 -72
0 2 20 7 -72
0 2 20 8 -72
0 2 20 9 -72
0 2 20 10 -71
0 2 21 1 -62
0 2 21 2 -62
0 2 21 3 -62
0 2 21 4 -62
0 2 21 5 -62
0 2 21 6 -62
0 2 21 7 -62
0 2 21 8 -62
0 2 21 9 -62
0 2 21 10 -62
0 2 22 1 -73
0 2 22 2 -73
0 2 22 3 -73
