"sender" "receiver" "channel" "packetnum" "rssi"
0 1 18 9 -53
0 1 18 10 -66
0 1 18 11 -51
0 1 18 12 -58
0 1 18 13 -57
0 1 18 14 -63
0 1 18 15 -61
0 1 18 16 -59
0 1 18 17 -60
0 1 18 18 -69
0 1 18 19 -55
0 1 18 20 -55
0 1 18 21 -65
0 1 18 22 -59
0 1 18 23 -73
0 1 18 24 -54
0 1 18 25 -64
0 1 18 26 -59
0 1 18 27 -57
0 1 18 28 -59
0 1 18 29 -54
0 1 18 30 -75
0 1 18 31 -56
0 1 18 32 -59
0 1 18 33 -52
0 1 18 34 -62
0 1 18 35 -61
0 1 18 36 -73
0 1 18 37 -66
0 1 18 38 -55
0 1 18 39 -59
0 1 18 40 -59
0 1 19 1 -53
0 1 19 2 -51
0 1 19 3 -54
0 1 19 4 -64
0 1 19 5 -72
0 1 19 6 -61
0 1 19 7 -57
0 1 19 8 -61
0 1 19 9 -53
0 1 19 10 -59
0 1 19 11 -55
0 1 19 12 -55
0 1 19 13 -50
0 1 19 14 -60
0 1 19 15 -53
0 1 19 16 -64
0 1 19 17 -65
0 1 19 18 -60
0 1 19 19 -55
0 1 19 20 -60
0 1 19 21 -56
0 1 19 22 -60
0 1 19 23 -56
0 1 19 24 -65
0 1 19 25 -56
0 1 19 26 -50
0 1 19 27 -52
0 1 19 28 -60
0 1 19 29 -52
0 1 19 30 -62
0 1 19 31 -54
0 1 19 32 -69
0 1 19 33 -52
0 1 19 34 -56
0 1 19 35 -62
0 1 19 36 -60
0 1 19 37 -62
0 1 19 38 -55
0 1 19 39 -53
0 1 19 40 -58
0 1 20 1 -55
0 1 20 2 -61
0 1 20 3 -65
0 1 20 4 -54
0 1 20 5 -57
0 1 20 6 -62
0 1 20 7 -58
0 1 20 8 -56
0 1 20 9 -67
0 1 20 10 -54
0 1 20 11 -64
0 1 20 12 -61
0 1 20 13 -60
0 1 20 14 -61
0 1 20 15 -59
0 1 20 16 -70
0 1 20 17 -56
0 1 20 18 -55
0 1 20 19 -54
0 1 20 20 -56
0 1 20 21 -58
0 1 20 22 -55
0 1 20 23 -71
0 1 20 24 -60
0 1 20 25 -57
0 1 20 26 -68
0 1 20 27 -52
0 1 20 28 -61
0 1 20 29 -58
0 1 20 30 -60
0 1 20 31 -60
0 1 20 32 -57
0 1 20 33 -56
0 1 20 34 -54
0 1 20 35 -64
0 1 20 36 -61
0 1 20 37 -58
0 1 20 38 -63
0 1 20 39 -51
0 1 20 40 -62
0 1 21 1 -58
0 1 21 2 -56
0 1 21 3 -56
0 1 21 4 -60
0 1 21 5 -52
0 1 21 6 -65
0 1 21 7 -70
0 1 21 8 -61
0 1 21 9 -68
0 1 21 10 -63
0 1 21 11 -62
0 1 21 12 -57
0 1 21 13 -54
0 1 21 14 -55
0 1 21 15 -66
0 1 21 16 -62
0 1 21 17 -49
0 1 21 18 -56
0 1 21 19 -59
0 1 21 20 -56
0 1 21 21 -51
0 1 21 22 -57
0 1 21 23 -55
0 1 21 24 -54
0 1 21 25 -59
0 1 21 26 -57
0 1 21 27 -56
0 1 21 28 -59
0 1 21 29 -75
0 1 21 30 -53
0 1 21 31 -60
0 1 21 32 -60
0 1 21 33 -55
0 1 21 34 -57
0 1 21 35 -56
0 1 21 36 -59
0 1 21 37 -65
0 1 21 38 -56
0 1 21 39 -59
0 1 21 40 -58
0 1 22 1 -55
0 1 22 2 -58
0 1 22 3 -57
0 1 22 4 -52
0 1 22 5 -54
0 1 22 6 -53
0 1 22 7 -56
0 1 22 8 -52
0 1 22 9 -67
0 1 22 10 -69
0 1 22 11 -66
0 1 22 12 -52
0 1 22 13 -56
0 1 22 14 -52
0 1 22 15 -54
0 1 22 16 -58
0 1 22 17 -55
0 1 22 18 -58
0 1 22 19 -65
0 1 22 20 -62
0 1 22 21 -68
0 1 22 22 -56
0 1 22 23 -63
0 1 22 24 -57
0 1 22 25 -56
0 1 22 26 -52
0 1 22 27 -60
0 1 22 28 -65
0 1 22 29 -70
0 1 22 30 -58
0 1 22 31 -49
0 1 22 32 -57
0 1 22 33 -59
0 1 22 34 -55
0 1 22 35 -70
0 1 22 36 -75
0 1 22 37 -56
0 1 22 38 -61
0 1 22 39 -58
0 1 22 40 -61
0 1 23 1 -60
0 1 23 2 -60
0 1 23 3 -60
0 1 23 4 -70
0 1 23 5 -63
0 1 23 6 -56
0 1 23 7 -57
0 1 23 8 -59
0 1 23 9 -61
0 1 23 10 -58
0 1 23 11 -64
0 1 23 12 -53
0 1 23 13 -64
0 1 23 14 -58
0 1 23 15 -60
0 1 23 16 -64
0 1 23 17 -59
0 1 23 18 -54
0 1 23 19 -58
0 1 23 20 -59
0 1 23 21 -61
0 1 23 22 -49
0 1 23 23 -63
0 1 23 24 -52
0 1 23 25 -53
0 1 23 26 -63
0 1 23 27 -60
0 1 23 28 -71
0 1 23 29 -52
0 1 23 30 -70
0 1 23 31 -58
0 1 23 32 -63
0 1 23 33 -56
0 1 23 34 -63
0 1 23 35 -63
0 1 23 36 -59
0 1 23 37 -51
0 1 23 38 -58
0 1 23 39 -57
0 1 23 40 -67
0 1 24 1 -62
0 1 24 2 -59
0 1 24 3 -58
0 1 24 4 -60
0 1 24 5 -60
0 1 24 6 -54
0 1 24 7 -55
0 1 24 8 -56
0 1 24 9 -66
0 1 24 10 -61
0 1 24 11 -60
0 1 24 12 -56
0 1 24 13 -60
0 1 24 14 -60
0 1 24 15 -54
0 1 24 16 -57
0 1 24 17 -60
0 1 24 18 -56
0 1 24 19 -61
0 1 24 20 -53
0 1 24 21 -61
0 1 24 22 -51
0 1 24 23 -60
0 1 24 24 -55
0 1 24 25 -65
0 1 24 26 -60
0 1 24 27 -60
0 1 24 28 -53
0 1 24 29 -50
0 1 24 30 -55
0 1 24 31 -51
0 1 24 32 -57
0 1 24 33 -49
0 1 24 34 -53
0 1 24 35 -86
0 1 24 36 -53
0 1 24 37 -63
0 1 24 38 -51
0 1 24 39 -58
0 1 24 40 -56
0 1 25 1 -60
0 1 25 2 -64
0 1 25 3 -59
0 1 25 4 -71
0 1 25 5 -50
0 1 25 6 -57
0 1 25 7 -55
0 1 25 8 -59
0 1 25 9 -56
0 1 25 10 -53
0 1 25 11 -58
0 1 25 12 -57
0 1 25 13 -58
0 1 25 14 -57
