"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "90" "143" "150" "13" 152 0.121962276478886 0.121962276478886
94 "140" "143" "90" "150" "13" 152 0.159261122858585 0.159261122858585
94 "140" "90" "150" "13" "152" 143 0.11261158247828 0.11261158247828
94 "140" "90" "150" "152" "13" 143 0.0131628399670736 0.0131628399670736
94 "140" "90" "150" "143" "13" 152 0.00453407484661271 0.00453407484661271
94 "140" "143" "90" "13" "150" 152 0.0274030082328242 0.0274030082328242
94 "140" "143" "90" "152" "13" 150 0.0121097777699437 0.0121097777699437
94 "140" "90" "143" "13" "150" 152 0.0243751661603561 0.0243751661603561
94 "140" "90" "143" "13" "152" 150 0.0118613947252341 0.0118613947252341
94 "140" "143" "90" "152" "150" 13 0.00120835092715273 0.00120835092715273
94 "140" "143" "90" "13" "152" 150 0.0133347971935884 0.0133347971935884
94 "140" "90" "150" "143" "152" 13 0.00144903422932984 0.00144903422932984
94 "140" "90" "150" "13" "143" 152 0.00896519394487276 0.00896519394487276
94 "140" "143" "90" "150" "152" 13 0.0181833565468463 0.0181833565468463
94 "140" "90" "143" "150" "152" 13 0.0139248268420775 0.0139248268420775
