"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "90" "150" "13" "152" 143 0.129769486428917 0.129769486428917
94 "143" "90" "150" "13" "152" 140 0.0804465970102459 0.0804465970102459
94 "140" "143" "90" "150" "13" 152 0.123108558982706 0.123108558982706
94 "140" "90" "143" "150" "13" 152 0.120544043938328 0.120544043938328
94 "140" "90" "143" "13" "150" 152 0.0182225581781758 0.0182225581781758
94 "140" "143" "90" "13" "150" 152 0.0197556224562752 0.0197556224562752
94 "140" "143" "90" "152" "13" 150 0.00759601177915385 0.00759601177915385
94 "143" "90" "150" "152" "13" 140 0.0135488117429698 0.0135488117429698
94 "143" "90" "150" "140" "13" 152 0.000701443807123881 0.000701443807123881
94 "140" "90" "150" "152" "13" 143 0.0254983943931392 0.0254983943931392
94 "140" "90" "150" "143" "13" 152 0.00180513613930745 0.00180513613930745
94 "140" "90" "150" "143" "152" 13 4.44446397935547e-05 4.44446397935547e-05
94 "140" "90" "150" "152" "143" 13 8.74730510913866e-05 8.74730510913866e-05
94 "143" "90" "150" "140" "152" 13 0.000608945722667984 0.000608945722667984
94 "143" "90" "150" "152" "140" 13 4.64796286208226e-05 4.64796286208226e-05
94 "140" "143" "90" "152" "150" 13 0.00115136399014733 0.00115136399014733
94 "140" "143" "90" "13" "152" 150 0.0104369326184095 0.0104369326184095
94 "140" "90" "143" "13" "152" 150 0.00962701186771551 0.00962701186771551
94 "140" "90" "143" "150" "152" 13 0.018985115079471 0.018985115079471
94 "140" "143" "90" "150" "152" 13 0.0193890140333294 0.0193890140333294
94 "143" "90" "150" "13" "140" 152 0.00587531326479324 0.00587531326479324
94 "140" "90" "150" "13" "143" 152 0.0323770952056049 0.0323770952056049
