"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "90" "143" "150" "13" 152 0.131355752863018 0.131355752863018
94 "140" "143" "90" "150" "13" 152 0.158010549348588 0.158010549348588
94 "140" "90" "150" "13" "152" 143 0.117050808712369 0.117050808712369
94 "140" "90" "150" "152" "13" 143 0.013535909397776 0.013535909397776
94 "140" "90" "150" "143" "13" 152 0.00579756219352475 0.00579756219352475
94 "140" "143" "90" "13" "150" 152 0.0299310778180997 0.0299310778180997
94 "140" "143" "90" "152" "13" 150 0.0143114429731411 0.0143114429731411
94 "140" "90" "143" "13" "150" 152 0.0224652508526171 0.0224652508526171
94 "140" "90" "143" "152" "13" 150 0.000302109840655848 0.000302109840655848
94 "140" "90" "143" "152" "150" 13 2.96832812871467e-05 2.96832812871467e-05
94 "140" "90" "143" "13" "152" 150 0.00938688885391043 0.00938688885391043
94 "140" "143" "90" "152" "150" 13 0.00140614614364923 0.00140614614364923
94 "140" "143" "90" "13" "152" 150 0.0125064127972341 0.0125064127972341
94 "140" "90" "150" "143" "152" 13 0.00209356412543949 0.00209356412543949
94 "140" "90" "150" "152" "143" 13 2.69639629437769e-05 2.69639629437769e-05
94 "140" "90" "150" "13" "143" 152 0.00994700548346216 0.00994700548346216
94 "140" "143" "90" "150" "152" 13 0.0195982076711427 0.0195982076711427
94 "140" "90" "143" "150" "152" 13 0.0162921864016147 0.0162921864016147
