"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.199303098350538 0.199303098350538
94 "140" "90" "143" "150" "13" 152 0.113602885889194 0.113602885889194
94 "140" "90" "143" "13" "150" 152 0.0222934908697876 0.0222934908697876
94 "140" "143" "90" "13" "150" 152 0.0321273585543857 0.0321273585543857
94 "140" "143" "90" "152" "13" 150 0.0132908060655917 0.0132908060655917
94 "140" "143" "90" "152" "150" 13 0.00138385833220912 0.00138385833220912
94 "140" "143" "90" "13" "152" 150 0.0171037736188816 0.0171037736188816
94 "140" "90" "143" "13" "152" 150 0.0118684771536999 0.0118684771536999
94 "140" "90" "143" "150" "152" 13 0.0129449260934641 0.0129449260934641
94 "140" "143" "90" "150" "152" 13 0.0227103727000613 0.0227103727000613
