"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
143 "90" "150" "13" "152" "140" 94 0.226672982436169 0.226672982436169
143 "94" "140" "90" "150" "13" 152 0.212130325538968 0.212130325538968
143 "94" "140" "90" "13" "150" 152 0.0103753101274087 0.0103753101274087
143 "94" "140" "90" "152" "13" 150 0.000836541533909083 0.000836541533909083
143 "90" "150" "13" "94" "140" 152 0.00107997190848117 0.00107997190848117
143 "94" "140" "90" "152" "150" 13 1.23474765152632e-05 1.23474765152632e-05
143 "94" "140" "90" "13" "152" 150 0.00363135854459303 0.00363135854459303
143 "94" "140" "90" "150" "152" 13 0.020465263317303 0.020465263317303
143 "90" "150" "13" "152" "94" 140 0.0811190114809642 0.0811190114809642
