"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "90" "143" "150" "13" 152 0.121815233222684 0.121815233222684
94 "140" "143" "90" "150" "13" 152 0.161061538718149 0.161061538718149
94 "140" "90" "150" "13" "152" 143 0.11518789482499 0.11518789482499
94 "140" "90" "150" "152" "13" 143 0.0123923065691471 0.0123923065691471
94 "140" "90" "150" "143" "13" 152 0.00495428183598567 0.00495428183598567
94 "140" "143" "90" "13" "150" 152 0.0287759314378245 0.0287759314378245
94 "140" "143" "90" "152" "13" 150 0.0131516951536564 0.0131516951536564
94 "140" "90" "143" "13" "150" 152 0.0246512027262033 0.0246512027262033
94 "140" "90" "143" "13" "152" 150 0.0111310496891446 0.0111310496891446
94 "140" "143" "90" "152" "150" 13 0.00141013799240517 0.00141013799240517
94 "140" "143" "90" "13" "152" 150 0.0129935373232468 0.0129935373232468
94 "140" "90" "150" "143" "152" 13 0.00113240727679672 0.00113240727679672
94 "140" "90" "150" "152" "143" 13 2.45392209290041e-05 2.45392209290041e-05
94 "140" "90" "150" "13" "143" 152 0.00946749820479368 0.00946749820479368
94 "140" "143" "90" "150" "152" 13 0.0178957265242388 0.0178957265242388
94 "140" "90" "143" "150" "152" 13 0.0135350259136316 0.0135350259136316
