"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.170103452473431 0.170103452473431
94 "140" "90" "143" "150" "13" 152 0.116119595330755 0.116119595330755
94 "140" "90" "143" "13" "150" 152 0.0175184293875675 0.0175184293875675
94 "140" "143" "90" "13" "150" 152 0.0348096620443464 0.0348096620443464
94 "140" "143" "90" "152" "13" 150 0.0156536834551484 0.0156536834551484
94 "140" "143" "90" "152" "150" 13 0.00153467484854396 0.00153467484854396
94 "140" "143" "90" "13" "152" 150 0.0171961400027227 0.0171961400027227
94 "140" "90" "143" "13" "152" 150 0.00865418813870242 0.00865418813870242
94 "140" "90" "143" "150" "152" 13 0.0138512439758356 0.0138512439758356
94 "140" "143" "90" "150" "152" 13 0.0202906702751608 0.0202906702751608
