"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.196664626532399 0.196664626532399
94 "140" "90" "143" "150" "13" 152 0.122671867602266 0.122671867602266
94 "140" "90" "143" "13" "150" 152 0.0199741881448469 0.0199741881448469
94 "140" "143" "90" "13" "150" 152 0.0291192359920964 0.0291192359920964
94 "140" "143" "90" "152" "13" 150 0.0184170256694945 0.0184170256694945
94 "140" "143" "90" "152" "150" 13 0.00206887292763044 0.00206887292763044
94 "140" "143" "90" "13" "152" 150 0.0183480900256321 0.0183480900256321
94 "140" "90" "143" "13" "152" 150 0.0125857767137173 0.0125857767137173
94 "140" "90" "143" "150" "152" 13 0.0157079830466317 0.0157079830466317
94 "140" "143" "90" "150" "152" 13 0.0251826655925633 0.0251826655925633
