"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "90" "143" "150" "13" 152 0.149075091092152 0.149075091092152
94 "140" "143" "90" "150" "13" 152 0.143349344364704 0.143349344364704
94 "140" "90" "150" "13" "152" 143 0.153771747569103 0.153771747569103
94 "140" "90" "150" "152" "13" 143 0.0273349379501457 0.0273349379501457
94 "140" "90" "150" "143" "13" 152 0.00753356411145639 0.00753356411145639
94 "140" "143" "90" "13" "150" 152 0.0187025356403295 0.0187025356403295
94 "140" "143" "90" "152" "13" 150 0.00703643005579955 0.00703643005579955
94 "140" "90" "143" "13" "150" 152 0.0321872306322406 0.0321872306322406
94 "140" "90" "143" "13" "152" 150 0.0155282658319475 0.0155282658319475
94 "140" "143" "90" "152" "150" 13 0.000885085541610007 0.000885085541610007
94 "140" "143" "90" "13" "152" 150 0.00902276895060394 0.00902276895060394
94 "140" "90" "150" "143" "152" 13 0.000715211782733201 0.000715211782733201
94 "140" "90" "150" "152" "143" 13 5.09980185637047e-05 5.09980185637047e-05
94 "140" "90" "150" "13" "143" 152 0.0112037703146887 0.0112037703146887
94 "140" "143" "90" "150" "152" 13 0.0240826898532703 0.0240826898532703
94 "140" "90" "143" "150" "152" 13 0.0250446153034816 0.0250446153034816
