"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
143 "90" "150" "13" "152" "140" 94 0.198726777934948 0.198726777934948
143 "94" "140" "90" "150" "13" 152 0.224866633729788 0.224866633729788
143 "94" "140" "90" "13" "150" 152 0.0154902647516353 0.0154902647516353
143 "94" "140" "90" "152" "13" 150 0.00166229744167019 0.00166229744167019
143 "90" "150" "13" "94" "140" 152 0.00303023496452841 0.00303023496452841
143 "90" "150" "13" "140" "94" 152 0.000487334835931229 0.000487334835931229
143 "90" "150" "13" "140" "152" 94 1.77043248235055e-05 1.77043248235055e-05
143 "94" "140" "90" "152" "150" 13 6.72252641851917e-05 6.72252641851917e-05
143 "94" "140" "90" "13" "152" 150 0.00526400771862932 0.00526400771862932
143 "94" "140" "90" "150" "152" 13 0.0172665450899659 0.0172665450899659
143 "90" "150" "13" "152" "94" 140 0.0916707394990244 0.0916707394990244
