"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
143 "90" "150" "13" "152" "140" 94 0.246259321371109 0.246259321371109
143 "94" "140" "90" "150" "13" 152 0.207744527490648 0.207744527490648
143 "94" "140" "90" "13" "150" 152 0.0161718605463714 0.0161718605463714
143 "94" "140" "90" "152" "13" 150 0.00981742635400629 0.00981742635400629
143 "90" "150" "13" "140" "94" 152 0.00104795756796893 0.00104795756796893
143 "90" "150" "13" "94" "140" 152 0.000561119042619377 0.000561119042619377
143 "90" "150" "13" "140" "152" 94 7.42805172698281e-05 7.42805172698281e-05
143 "94" "140" "90" "152" "150" 13 0.000497318032942157 0.000497318032942157
143 "94" "140" "90" "13" "152" 150 0.00528280777848133 0.00528280777848133
143 "94" "140" "90" "150" "152" 13 0.0200050285731735 0.0200050285731735
143 "90" "150" "13" "152" "94" 140 0.0747007710071745 0.0747007710071745
