"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "90" "143" "150" "13" 152 0.137733165481949 0.137733165481949
94 "140" "143" "90" "150" "13" 152 0.179527679728115 0.179527679728115
94 "140" "90" "150" "13" "152" 143 0.116745276442178 0.116745276442178
94 "140" "90" "150" "152" "13" 143 0.0139737714061248 0.0139737714061248
94 "140" "90" "150" "143" "13" 152 0.00653575450823587 0.00653575450823587
94 "140" "143" "90" "13" "150" 152 0.0305213348520416 0.0305213348520416
94 "140" "143" "90" "152" "13" 150 0.0157352844762664 0.0157352844762664
94 "140" "90" "143" "13" "150" 152 0.0318685860583661 0.0318685860583661
94 "140" "90" "143" "13" "152" 150 0.011633444025731 0.011633444025731
94 "140" "143" "90" "152" "150" 13 0.00162428742980815 0.00162428742980815
94 "140" "143" "90" "13" "152" 150 0.0111416377225373 0.0111416377225373
94 "140" "90" "150" "143" "152" 13 0.00137113730942011 0.00137113730942011
94 "140" "90" "150" "152" "143" 13 5.4585044555175e-05 5.4585044555175e-05
94 "140" "90" "150" "13" "143" 152 0.0100200536666939 0.0100200536666939
94 "140" "143" "90" "150" "152" 13 0.0227113329776532 0.0227113329776532
94 "140" "90" "143" "150" "152" 13 0.0174240751513308 0.0174240751513308
