"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "90" "143" "150" "13" 152 0.18626509901111 0.18626509901111
94 "140" "143" "90" "150" "13" 152 0.177511755171674 0.177511755171674
94 "140" "90" "150" "13" "152" 143 0.155654157320095 0.155654157320095
94 "140" "90" "150" "152" "13" 143 0.0130996231225466 0.0130996231225466
94 "140" "90" "150" "143" "13" 152 0.000794566853126555 0.000794566853126555
94 "140" "143" "90" "13" "150" 152 0.00975050289324775 0.00975050289324775
94 "140" "143" "90" "152" "13" 150 0.00134653694986289 0.00134653694986289
94 "140" "90" "143" "13" "150" 152 0.0477984444990995 0.0477984444990995
94 "140" "90" "143" "152" "13" 150 0.0156772049991264 0.0156772049991264
94 "140" "90" "143" "152" "150" 13 0.000472382824832433 0.000472382824832433
94 "140" "90" "143" "13" "152" 150 0.0167999067967357 0.0167999067967357
94 "140" "143" "90" "152" "150" 13 4.05736180749648e-05 4.05736180749648e-05
94 "140" "143" "90" "13" "152" 150 0.00342704750216191 0.00342704750216191
94 "140" "90" "150" "143" "152" 13 0.000142882635869249 0.000142882635869249
94 "140" "90" "150" "152" "143" 13 2.46697233946264e-05 2.46697233946264e-05
94 "140" "90" "150" "13" "143" 152 0.0118368180471555 0.0118368180471555
94 "140" "143" "90" "150" "152" 13 0.0139095032037506 0.0139095032037506
94 "140" "90" "143" "150" "152" 13 0.014595399549378 0.014595399549378
