"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
143 "90" "150" "13" "152" "140" 94 0.233826240683724 0.233826240683724
143 "94" "140" "90" "150" "13" 152 0.202604655441761 0.202604655441761
143 "94" "140" "90" "13" "150" 152 0.0129533696575476 0.0129533696575476
143 "94" "140" "90" "152" "13" 150 0.00370111033683115 0.00370111033683115
143 "90" "150" "13" "94" "140" 152 0.00281240844906503 0.00281240844906503
143 "94" "140" "90" "152" "150" 13 0.000249808512965513 0.000249808512965513
143 "94" "140" "90" "13" "152" 150 0.00403558139657803 0.00403558139657803
143 "94" "140" "90" "150" "152" 13 0.0206222595717507 0.0206222595717507
143 "90" "150" "13" "152" "94" 140 0.0963505112365096 0.0963505112365096
