"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "90" "143" "150" "13" 152 0.136980333956882 0.136980333956882
94 "140" "143" "90" "150" "13" 152 0.140760684923351 0.140760684923351
94 "140" "90" "150" "13" "152" 143 0.127742683913192 0.127742683913192
94 "140" "90" "150" "152" "13" 143 0.0170998315635456 0.0170998315635456
94 "140" "90" "150" "143" "13" 152 0.00687905827153138 0.00687905827153138
94 "140" "143" "90" "13" "150" 152 0.0176258720450679 0.0176258720450679
94 "140" "143" "90" "152" "13" 150 0.0126575230787878 0.0126575230787878
94 "140" "90" "143" "13" "150" 152 0.0228070238328756 0.0228070238328756
94 "140" "90" "143" "13" "152" 150 0.0141619674174215 0.0141619674174215
94 "140" "143" "90" "152" "150" 13 0.00127936254774845 0.00127936254774845
94 "140" "143" "90" "13" "152" 150 0.0109447434893314 0.0109447434893314
94 "140" "90" "150" "143" "152" 13 0.00222246498003321 0.00222246498003321
94 "140" "90" "150" "13" "143" 152 0.00988337979986014 0.00988337979986014
94 "140" "143" "90" "150" "152" 13 0.0177713890784992 0.0177713890784992
94 "140" "90" "143" "150" "152" 13 0.0172941102991655 0.0172941102991655
