"P1" "P2" "P3" "P4" "P5" "P6" "P7"
1 0.899096385542169 0.428318584070796 0.763765541740675 0.742214532871972 0.901785714285714 1
1 0.899096385542169 0.382300884955752 0.505882352941176 0.787119856887299 0.901785714285714 1
1 0.899096385542169 0.382300884955752 0.505882352941176 0.211091234347048 0.693623639191291 1
1 0.899096385542169 0.382300884955752 0.505882352941176 0.00178890876565295 0.909090909090909 1
1 0.899096385542169 0.428318584070796 0.763765541740675 0.190311418685121 0.693623639191291 1
1 0.899096385542169 0.428318584070796 0.763765541740675 0.0674740484429066 0.909090909090909 1
1 0.899096385542169 0.428318584070796 0.763765541740675 0.0674740484429066 0.0909090909090909 1
1 0.899096385542169 0.428318584070796 0.763765541740675 0.190311418685121 0.306376360808709 1
1 0.899096385542169 0.382300884955752 0.505882352941176 0.00178890876565295 0.0909090909090909 1
1 0.899096385542169 0.382300884955752 0.505882352941176 0.211091234347048 0.306376360808709 1
1 0.899096385542169 0.382300884955752 0.505882352941176 0.787119856887299 0.0982142857142857 1
1 0.899096385542169 0.428318584070796 0.763765541740675 0.742214532871972 0.0982142857142857 1
