"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
143 "94" "140" "90" "150" "13" 152 0.186732271648618 0.186732271648618
143 "90" "150" "13" "152" "140" 94 0.153334144061443 0.153334144061443
143 "90" "150" "13" "94" "140" 152 0.000617986186602114 0.000617986186602114
143 "94" "140" "90" "13" "152" 150 0.0267712624109176 0.0267712624109176
143 "94" "140" "90" "152" "13" 150 0.000452838762415198 0.000452838762415198
143 "94" "140" "90" "152" "150" 13 3.47651805791195e-05 3.47651805791195e-05
143 "94" "140" "90" "13" "150" 152 0.026377567375463 0.026377567375463
143 "90" "150" "13" "152" "94" 140 0.0360786221321044 0.0360786221321044
143 "94" "140" "90" "150" "152" 13 0.0482928288746427 0.0482928288746427
