"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
143 "90" "150" "13" "152" "140" 94 0.224132041012854 0.224132041012854
143 "94" "140" "90" "150" "13" 152 0.258317529071921 0.258317529071921
143 "94" "140" "90" "13" "150" 152 0.0147022929956058 0.0147022929956058
143 "94" "140" "90" "152" "13" 150 0.00256107024992698 0.00256107024992698
143 "90" "150" "13" "94" "140" 152 0.00246836488921162 0.00246836488921162
143 "90" "150" "13" "140" "94" 152 0.000476688973687314 0.000476688973687314
143 "90" "150" "13" "140" "152" 94 1.77590009805078e-05 1.77590009805078e-05
143 "90" "150" "13" "94" "152" 140 3.87498412749077e-06 3.87498412749077e-06
143 "94" "140" "90" "152" "150" 13 0.000133750283845316 0.000133750283845316
143 "94" "140" "90" "13" "152" 150 0.00577834306106367 0.00577834306106367
143 "94" "140" "90" "150" "152" 13 0.0214048423336432 0.0214048423336432
143 "90" "150" "13" "152" "94" 140 0.0547366166997973 0.0547366166997973
