"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.210062950859539 0.210062950859539
94 "140" "90" "150" "13" "152" 143 0.13004539408029 0.13004539408029
94 "140" "90" "150" "152" "13" 143 0.0166979624269306 0.0166979624269306
94 "140" "90" "150" "143" "13" 152 0.00154701710720092 0.00154701710720092
94 "140" "143" "90" "13" "150" 152 0.0329188108844331 0.0329188108844331
94 "140" "143" "90" "152" "13" 150 0.0188737662541121 0.0188737662541121
94 "140" "143" "90" "152" "150" 13 0.00185036924059923 0.00185036924059923
94 "140" "143" "90" "13" "152" 150 0.00959223628420566 0.00959223628420566
94 "140" "90" "150" "143" "152" 13 0.000401078509274313 0.000401078509274313
94 "140" "90" "150" "13" "143" 152 0.011330687801055 0.011330687801055
94 "140" "143" "90" "150" "152" 13 0.0248105847471897 0.0248105847471897
