"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.191640882528339 0.191640882528339
94 "140" "90" "143" "150" "13" 152 0.113763877884481 0.113763877884481
94 "140" "90" "143" "13" "150" 152 0.015482353831814 0.015482353831814
94 "140" "90" "143" "152" "13" 150 0.000260522403750603 0.000260522403750603
94 "140" "143" "90" "13" "150" 152 0.027465401452952 0.027465401452952
94 "140" "143" "90" "152" "13" 150 0.0180410145694316 0.0180410145694316
94 "140" "143" "90" "152" "150" 13 0.00198723918583372 0.00198723918583372
94 "140" "143" "90" "13" "152" 150 0.0140932250892236 0.0140932250892236
94 "140" "90" "143" "152" "150" 13 2.86968522489865e-05 2.86968522489865e-05
94 "140" "90" "143" "13" "152" 150 0.00794440590415276 0.00794440590415276
94 "140" "90" "143" "150" "152" 13 0.0149386910353359 0.0149386910353359
94 "140" "143" "90" "150" "152" 13 0.0251649643724081 0.0251649643724081
