"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "90" "143" "150" "13" 152 0.167254424830229 0.167254424830229
94 "140" "143" "90" "150" "13" 152 0.199340431223291 0.199340431223291
94 "140" "90" "150" "13" "152" 143 0.13743321314357 0.13743321314357
94 "140" "90" "150" "152" "13" 143 0.0109206578570062 0.0109206578570062
94 "140" "90" "150" "143" "13" 152 0.00320203721001579 0.00320203721001579
94 "140" "143" "90" "13" "150" 152 0.0136738797037265 0.0136738797037265
94 "140" "143" "90" "152" "13" 150 0.00262371924783194 0.00262371924783194
94 "140" "90" "143" "13" "150" 152 0.0264674716419688 0.0264674716419688
94 "140" "90" "143" "152" "13" 150 0.00265212147033966 0.00265212147033966
94 "140" "90" "143" "152" "150" 13 7.90203790045337e-05 7.90203790045337e-05
94 "140" "90" "143" "13" "152" 150 0.00864720927817083 0.00864720927817083
94 "140" "143" "90" "152" "150" 13 7.81741302892198e-05 7.81741302892198e-05
94 "140" "143" "90" "13" "152" 150 0.00446740440651552 0.00446740440651552
94 "140" "90" "150" "143" "152" 13 0.000451739689379821 0.000451739689379821
94 "140" "90" "150" "152" "143" 13 4.06728411806562e-05 4.06728411806562e-05
94 "140" "90" "150" "13" "143" 152 0.00193227716194826 0.00193227716194826
94 "140" "143" "90" "150" "152" 13 0.0164250542580989 0.0164250542580989
94 "140" "90" "143" "150" "152" 13 0.0137812634691575 0.0137812634691575
