"expNo" "verdict" "rank" "JP1" "JP2" "JP3" "JP4" "JP5" "JP6" "JP7" "JP8" "JP9" "JP10"
12 1 2 1 0.70606531881804 0.313354637169966 0.30474336469812 0.240699977758741 0.240699977758741 0.211346321934504 0.164867670222767 0.0779285885838778 0.0779285885838778
13 0 1 1 0.703875968992248 0.32042912093729 0.319928450435826 0.273062997307708 0.273062997307708 0.239403459889192 0.186603518735549 0.0986607705833019 0.0986607705833019
13 1 2 1 0.703875968992248 0.32042912093729 0.319928450435826 0.273062997307708 0.273062997307708 0.239403459889192 0.186603518735549 0.0879427481522468 0.0879427481522468
14 0 1 1 0.687888198757764 0.314760963674007 0.310348426800073 0.253705078963863 0.253705078963863 0.222623292873344 0.174362299313388 0.0926698603964275 0.0926698603964275
14 1 2 1 0.687888198757764 0.314760963674007 0.310348426800073 0.253705078963863 0.253705078963863 0.222623292873344 0.174362299313388 0.0816924389169607 0.0816924389169607
15 0 1 1 0.701399688958009 0.31649767624015 0.302198082434119 0.219190883825606 0.219190883825606 0.19294047857703 0.153762022565561 0.0816156190157376 0.0816156190157376
15 1 2 1 0.701399688958009 0.31649767624015 0.302198082434119 0.219190883825606 0.219190883825606 0.19294047857703 0.153762022565561 0.0721464035498233 0.0721464035498233
16 0 1 1 0.690402476780186 0.320216215227442 0.31279234624999 0.247567762633173 0.247180938004059 0.217264939455913 0.169747573054963 0.0899836620746574 0.0899836620746574
16 1 2 1 0.690402476780186 0.320216215227442 0.31279234624999 0.247567762633173 0.247180938004059 0.217264939455913 0.169747573054963 0.0797639109803058 0.0797639109803058
17 0 1 1 0.688172043010753 0.33985111662531 0.316956954577198 0.25199920661879 0.25199920661879 0.22340625579215 0.179226337045034 0.0947603166408945 0.0947603166408945
17 1 2 1 0.688172043010753 0.33985111662531 0.316956954577198 0.25199920661879 0.25199920661879 0.22340625579215 0.179226337045034 0.0844660204041399 0.0844660204041399
18 0 1 1 0.68960244648318 0.325245332968186 0.303934406315045 0.261015714933381 0.260607239636146 0.229006661177272 0.17997899200258 0.0959012147167032 0.0959012147167032
18 1 2 1 0.68960244648318 0.325245332968186 0.303934406315045 0.261015714933381 0.260607239636146 0.229006661177272 0.17997899200258 0.0840777772858768 0.0840777772858768
19 0 1 1 0.686635944700461 0.328927398658904 0.307855487182318 0.261787903488849 0.261787903488849 0.230576230941743 0.180216861821225 0.0956576304681576 0.0956576304681576
19 1 2 1 0.686635944700461 0.328927398658904 0.307855487182318 0.261787903488849 0.261787903488849 0.230576230941743 0.180216861821225 0.0845592313530675 0.0845592313530675
20 0 1 1 0.693023255813954 0.340074879400965 0.318390478070577 0.274845897981513 0.274845897981513 0.242463465229641 0.19006669943849 0.101368906367194 0.101368906367194
20 1 2 1 0.693023255813954 0.340074879400965 0.318390478070577 0.274845897981513 0.274845897981513 0.242463465229641 0.19006669943849 0.0886977930712953 0.0886977930712953
21 0 1 1 0.692667706708268 0.323581994374665 0.303545957571281 0.263854955689746 0.263854955689746 0.232443651440967 0.189817881549214 0.105703606121202 0.105703606121202
21 1 2 1 0.692667706708268 0.323581994374665 0.303545957571281 0.263854955689746 0.263854955689746 0.232443651440967 0.189817881549214 0.084114275428012 0.084114275428012
22 0 1 1 0.686427457098284 0.337933517340693 0.315264030217995 0.272635461496097 0.272635461496097 0.24006396830851 0.187058391260334 0.11148999422202 0.11148999422202
22 1 2 1 0.686427457098284 0.337933517340693 0.315264030217995 0.272635461496097 0.272635461496097 0.24006396830851 0.187058391260334 0.0755683970383144 0.0755683970383144
23 1 1 1 0.692667706708268 0.324055067465856 0.304135640530174 0.263889119678061 0.263476792928564 0.232685865944308 0.178811155505498 0.0894055777527492 0.0894055777527492
23 0 2 1 0.692667706708268 0.324055067465856 0.304135640530174 0.263889119678061 0.263476792928564 0.232685865944308 0.178811155505498 0.0894055777527492 0.0894055777527492
24 1 1 1 0.697204968944099 0.344819201694834 0.319614687729581 0.273286936506699 0.272859257419834 0.240568221038789 0.184893861312669 0.0924469306563346 0.0924469306563346
24 0 2 1 0.697204968944099 0.344819201694834 0.319614687729581 0.273286936506699 0.272859257419834 0.240568221038789 0.184893861312669 0.0924469306563346 0.0924469306563346
25 0 1 1 0.695718654434251 0.338343418569848 0.316681187502877 0.26966301992603 0.26966301992603 0.237891235545938 0.184054463710931 0.092171701607201 0.092171701607201
25 1 2 1 0.695718654434251 0.338343418569848 0.316681187502877 0.26966301992603 0.26966301992603 0.237891235545938 0.184054463710931 0.0918827621037301 0.0918827621037301
26 1 1 1 0.692068429237947 0.336539373364185 0.315163903564096 0.270599911369173 0.270599911369173 0.238670718287264 0.184961414593928 0.092480707296964 0.092480707296964
26 0 2 1 0.692068429237947 0.336539373364185 0.315163903564096 0.270599911369173 0.270599911369173 0.238670718287264 0.184961414593928 0.092480707296964 0.092480707296964
27 1 1 1 0.692667706708268 0.338919978817501 0.316713053528367 0.271667355299259 0.271667355299259 0.239706489969935 0.183181815479208 0.0915909077396038 0.0915909077396038
27 0 2 1 0.692667706708268 0.338919978817501 0.316713053528367 0.271667355299259 0.271667355299259 0.239706489969935 0.183181815479208 0.0915909077396038 0.0915909077396038
28 1 1 1 0.687402799377916 0.339445035606123 0.317594531817106 0.274349595566753 0.27392092432368 0.241694933226777 0.186105098584618 0.0931981714351766 0.0931981714351766
28 0 2 1 0.687402799377916 0.339445035606123 0.317594531817106 0.274349595566753 0.27392092432368 0.241694933226777 0.186105098584618 0.0929069271494415 0.0929069271494415
29 1 1 1 0.693146417445483 0.336039068639983 0.313496666219516 0.27076823171256 0.27076823171256 0.238819177823173 0.184202860167589 0.0921014300837945 0.0921014300837945
29 0 2 1 0.693146417445483 0.336039068639983 0.313496666219516 0.27076823171256 0.27076823171256 0.238819177823173 0.184202860167589 0.0921014300837945 0.0921014300837945
30 0 1 1 0.691833590138675 0.33745399885969 0.315947067217646 0.270346459577985 0.270346459577985 0.238143425422372 0.182048948046871 0.092752786821349 0.092752786821349
30 1 2 1 0.691833590138675 0.33745399885969 0.315947067217646 0.270346459577985 0.270346459577985 0.238143425422372 0.182048948046871 0.0892961612255223 0.0892961612255223
31 1 1 1 0.689335394126739 0.336235459826345 0.314728979556641 0.269767696762835 0.269767696762835 0.23803032067309 0.183623390233527 0.0918116951167633 0.0918116951167633
31 0 2 1 0.689335394126739 0.336235459826345 0.314728979556641 0.269767696762835 0.269767696762835 0.23803032067309 0.183623390233527 0.0918116951167633 0.0918116951167633
32 0 1 1 0.68798751950078 0.334526041592123 0.314176534610999 0.268769998951891 0.268350045828529 0.236732956482016 0.182776727084406 0.091531381325524 0.091531381325524
32 1 2 1 0.68798751950078 0.334526041592123 0.314176534610999 0.268769998951891 0.268350045828529 0.236732956482016 0.182776727084406 0.0912453457588816 0.0912453457588816
33 1 1 1 0.686427457098284 0.335353872170154 0.31439425515952 0.27322357888863 0.27322357888863 0.241387793147919 0.18675972114839 0.0933798605741952 0.0933798605741952
33 0 2 1 0.686427457098284 0.335353872170154 0.31439425515952 0.27322357888863 0.27322357888863 0.241387793147919 0.18675972114839 0.0933798605741952 0.0933798605741952
34 0 1 1 0.688473520249221 0.341039514674537 0.319225754765557 0.276757754505266 0.276757754505266 0.244150066198313 0.186640729796109 0.0947784955995867 0.0947784955995867
34 1 2 1 0.688473520249221 0.341039514674537 0.319225754765557 0.276757754505266 0.276757754505266 0.244150066198313 0.186640729796109 0.0918622341965225 0.0918622341965225
35 0 1 1 0.693623639191291 0.342516936380839 0.320574445143941 0.27558984796717 0.27558984796717 0.243119762786944 0.187738613384187 0.0940166682410607 0.0940166682410607
35 1 2 1 0.693623639191291 0.342516936380839 0.320574445143941 0.27558984796717 0.27558984796717 0.243119762786944 0.187738613384187 0.0937219451431263 0.0937219451431263
36 1 1 1 0.691019786910198 0.340194356632713 0.317752749898321 0.275385716578545 0.275385716578545 0.242939682224666 0.189299154098137 0.0946495770490687 0.0946495770490687
36 0 2 1 0.691019786910198 0.340194356632713 0.317752749898321 0.275385716578545 0.275385716578545 0.242939682224666 0.189299154098137 0.0946495770490687 0.0946495770490687
37 1 1 1 0.689230769230769 0.340360873694207 0.318059537196303 0.273157014298001 0.27273020646316 0.240147394186588 0.184861663150827 0.0924308315754133 0.0924308315754133
37 0 2 1 0.689230769230769 0.340360873694207 0.318059537196303 0.273157014298001 0.27273020646316 0.240147394186588 0.184861663150827 0.0924308315754133 0.0924308315754133
38 1 1 1 0.691472868217054 0.322485153452106 0.302421585483158 0.262956012011016 0.262956012011016 0.231928753956619 0.178812780433126 0.0894063902165629 0.0894063902165629
