"expNo" "verdict" "rank" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10"
14 0 2 1 0.801438848920863 0.562587904360056 0.938967136150235 0.93603744149766 0.517985611510791 1 0.880774962742176 0.480916030534351 1
15 1 1 1 0.80431654676259 0.552594670406732 0.939157566302652 0.933125972006221 0.519480519480519 1 0.881831610044313 0.510835913312694 1
15 0 2 1 0.80431654676259 0.552594670406732 0.939157566302652 0.933125972006221 0.519480519480519 1 0.881831610044313 0.489164086687306 1
16 1 1 1 0.806404657933042 0.552407932011331 0.937597503900156 0.93167701863354 0.524926686217009 0.998435054773083 0.880774962742176 0.510046367851623 1
16 0 2 1 0.806404657933042 0.552407932011331 0.937597503900156 0.93167701863354 0.524926686217009 0.998435054773083 0.880774962742176 0.489953632148377 1
17 1 1 1 0.805755395683453 0.556962025316456 0.939252336448598 0.934477379095164 0.515895953757225 1 0.881656804733728 0.512269938650307 1
17 0 2 1 0.805755395683453 0.556962025316456 0.939252336448598 0.934477379095164 0.515895953757225 1 0.881656804733728 0.487730061349693 1
18 1 1 1 0.801438848920863 0.556980056980057 0.939157566302652 0.9375 0.520231213872832 1 0.881656804733728 0.518237082066869 1
18 0 2 1 0.801438848920863 0.556980056980057 0.939157566302652 0.9375 0.520231213872832 1 0.881656804733728 0.481762917933131 1
19 0 1 1 0.806078147612156 0.560393258426966 0.9421875 0.9375 0.525622254758419 1 0.882005899705015 0.529061102831595 1
19 1 2 1 0.806078147612156 0.560393258426966 0.9421875 0.9375 0.525622254758419 1 0.882005899705015 0.470938897168405 1
20 1 1 1 0.804630969609262 0.557719054242003 0.9453125 0.9375 0.524017467248908 1 0.882352941176471 0.507763975155279 1
20 0 2 1 0.804630969609262 0.557719054242003 0.9453125 0.9375 0.524017467248908 1 0.882352941176471 0.492236024844721 1
21 1 1 1 0.799132947976879 0.554929577464789 0.940902021772939 0.9375 0.521739130434783 1 0.881831610044313 0.516819571865443 1
21 0 2 1 0.799132947976879 0.554929577464789 0.940902021772939 0.9375 0.521739130434783 1 0.881831610044313 0.483180428134557 1
22 1 1 1 0.790830945558739 0.554149085794655 0.9453125 0.937402190923318 0.523255813953488 0.998432601880878 0.881481481481482 0.516079632465544 1
22 0 2 1 0.790830945558739 0.554149085794655 0.9453125 0.937402190923318 0.523255813953488 0.998432601880878 0.881481481481482 0.483920367534456 1
23 1 1 1 0.800859598853868 0.554166666666667 0.940625 0.9359375 0.519480519480519 1 0.88112927191679 0.53125 1
23 0 2 1 0.800859598853868 0.554166666666667 0.940625 0.9359375 0.519480519480519 1 0.88112927191679 0.46875 1
24 1 1 1 0.800859598853868 0.554317548746518 0.946957878315133 0.9359375 0.526315789473684 1 0.88030303030303 0.528888888888889 1
24 0 2 1 0.800859598853868 0.554317548746518 0.946957878315133 0.9359375 0.526315789473684 1 0.88030303030303 0.471111111111111 1
25 1 1 1 0.805475504322767 0.559440559440559 0.940625 0.9375 0.52863436123348 1 0.882962962962963 0.533136966126657 1
25 0 2 1 0.805475504322767 0.559440559440559 0.940625 0.9375 0.52863436123348 1 0.882962962962963 0.466863033873343 1
26 1 1 1 0.805194805194805 0.55820476858345 0.9375 0.9375 0.53019145802651 1 0.88112927191679 0.516819571865443 1
26 0 2 1 0.805194805194805 0.55820476858345 0.9375 0.9375 0.53019145802651 1 0.88112927191679 0.483180428134557 1
27 1 1 1 0.799713876967096 0.558041958041958 0.9390625 0.9375 0.524017467248908 1 0.881656804733728 0.522935779816514 1
27 0 2 1 0.799713876967096 0.558041958041958 0.9390625 0.9375 0.524017467248908 1 0.881656804733728 0.477064220183486 1
28 1 1 1 0.794835007173601 0.559109874826147 0.9375 0.937402190923318 0.525547445255474 1 0.87910447761194 0.510077519379845 1
28 0 2 1 0.794835007173601 0.559109874826147 0.9375 0.937402190923318 0.525547445255474 1 0.87910447761194 0.489922480620155 1
29 1 1 1 0.794579172610556 0.559274755927476 0.9375 0.9375 0.524781341107872 1 0.880597014925373 0.522137404580153 1
29 0 2 1 0.794579172610556 0.559274755927476 0.9375 0.9375 0.524781341107872 1 0.880597014925373 0.477862595419847 1
30 1 1 1 0.807860262008734 0.557103064066852 0.940902021772939 0.9359375 0.535714285714286 1 0.87797619047619 0.50855365474339 1
30 0 2 1 0.807860262008734 0.557103064066852 0.940902021772939 0.9359375 0.535714285714286 1 0.87797619047619 0.49144634525661 1
31 1 1 1 0.803443328550933 0.556328233657858 0.937597503900156 0.9375 0.526315789473684 0.9984375 0.881831610044313 0.518853695324284 1
31 0 2 1 0.803443328550933 0.556328233657858 0.937597503900156 0.9375 0.526315789473684 0.9984375 0.881831610044313 0.481146304675716 1
32 1 1 1 0.792857142857143 0.557880055788006 0.940902021772939 0.9375 0.520231213872832 1 0.882179675994109 0.540816326530612 1
32 0 2 1 0.792857142857143 0.557880055788006 0.940902021772939 0.9375 0.520231213872832 1 0.882179675994109 0.459183673469388 1
33 1 1 1 0.796005706134094 0.558659217877095 0.940809968847352 0.9375 0.527859237536657 1 0.887407407407407 0.544901065449011 1
33 0 2 1 0.796005706134094 0.558659217877095 0.940809968847352 0.9375 0.527859237536657 1 0.887407407407407 0.455098934550989 1
34 1 1 1 0.793447293447293 0.556643356643357 0.934477379095164 0.9375 0.518731988472622 1 0.88112927191679 0.510108864696734 1
34 0 2 1 0.793447293447293 0.556643356643357 0.934477379095164 0.9375 0.518731988472622 1 0.88112927191679 0.489891135303266 1
35 1 1 1 0.788051209103841 0.550561797752809 0.939252336448598 0.9375 0.517985611510791 0.9984375 0.879518072289157 0.514592933947773 1
35 0 2 1 0.788051209103841 0.550561797752809 0.939252336448598 0.9375 0.517985611510791 0.9984375 0.879518072289157 0.485407066052227 1
36 1 1 1 0.783898305084746 0.561971830985916 0.939157566302652 0.9375 0.53037037037037 1 0.880706921944035 0.514637904468413 1
36 0 2 1 0.783898305084746 0.561971830985916 0.939157566302652 0.9375 0.53037037037037 1 0.880706921944035 0.485362095531587 1
37 1 1 1 0.791193181818182 0.559722222222222 0.938967136150235 0.9375 0.535714285714286 1 0.880774962742176 0.515290519877676 1
37 0 2 1 0.791193181818182 0.559722222222222 0.938967136150235 0.9375 0.535714285714286 1 0.880774962742176 0.484709480122324 1
38 1 1 1 0.793696275071633 0.563458856345886 0.940717628705148 0.9375 0.524017467248908 1 0.882179675994109 0.531851851851852 1
38 0 2 1 0.793696275071633 0.563458856345886 0.940717628705148 0.9375 0.524017467248908 1 0.882179675994109 0.468148148148148 1
39 1 1 1 0.792263610315186 0.555399719495091 0.937597503900156 0.9375 0.526315789473684 1 0.883308714918759 0.516129032258065 1
39 0 2 1 0.792263610315186 0.555399719495091 0.937597503900156 0.9375 0.526315789473684 1 0.883308714918759 0.483870967741935 1
40 1 1 1 0.791193181818182 0.552407932011331 0.937597503900156 0.9375 0.52332361516035 1 0.882005899705015 0.534124629080119 1
40 0 2 1 0.791193181818182 0.552407932011331 0.937597503900156 0.9375 0.52332361516035 1 0.882005899705015 0.465875370919881 1
41 1 1 1 0.789772727272727 0.555399719495091 0.945736434108527 0.9375 0.521739130434783 1 0.883652430044183 0.524663677130045 1
41 0 2 1 0.789772727272727 0.555399719495091 0.945736434108527 0.9375 0.521739130434783 1 0.883652430044183 0.475336322869955 1
42 1 1 1 0.785511363636364 0.556179775280899 0.937888198757764 0.9375 0.523255813953488 0.9984375 0.882179675994109 0.524886877828054 1
42 0 2 1 0.785511363636364 0.556179775280899 0.937888198757764 0.9375 0.523255813953488 0.9984375 0.882179675994109 0.475113122171946 1
43 1 1 1 0.795163584637269 0.55849582172702 0.940902021772939 0.9375 0.526315789473684 1 0.883652430044183 0.508607198748044 1
43 0 2 1 0.795163584637269 0.55849582172702 0.940902021772939 0.9375 0.526315789473684 1 0.883652430044183 0.491392801251956 1
44 1 1 1 0.790830945558739 0.555244755244755 0.939252336448598 0.9375 0.524017467248908 1 0.882005899705015 0.522003034901366 1
44 0 2 1 0.790830945558739 0.555244755244755 0.939252336448598 0.9375 0.524017467248908 1 0.882005899705015 0.477996965098634 1
45 1 1 1 0.789625360230548 0.559722222222222 0.9390625 0.93603744149766 0.522561863173217 1 0.884955752212389 0.515290519877676 1
45 0 2 1 0.789625360230548 0.559722222222222 0.9390625 0.93603744149766 0.522561863173217 1 0.884955752212389 0.484709480122324 1
46 1 1 1 0.801449275362319 0.555710306406685 0.93613707165109 0.93603744149766 0.535820895522388 1 0.882352941176471 0.520179372197309 1
46 0 2 1 0.801449275362319 0.555710306406685 0.93613707165109 0.93603744149766 0.535820895522388 1 0.882352941176471 0.479820627802691 1
47 1 1 1 0.796296296296296 0.563202247191011 0.939157566302652 0.9375 0.534918276374443 1 0.923076923076923 0.506289308176101 1
47 0 2 1 0.796296296296296 0.563202247191011 0.939157566302652 0.9375 0.534918276374443 1 0.923076923076923 0.493710691823899 1
48 1 1 1 0.786421499292786 0.557719054242003 0.939814814814815 0.9375 0.527859237536657 1 0.882352941176471 0.530280649926145 1
48 0 2 1 0.786421499292786 0.557719054242003 0.939814814814815 0.9375 0.527859237536657 1 0.882352941176471 0.469719350073855 1
49 1 1 1 0.789473684210526 0.554775280898876 0.937791601866252 0.931570762052877 0.534124629080119 1 0.882005899705015 0.506976744186047 1
49 0 2 1 0.789473684210526 0.554775280898876 0.937791601866252 0.931570762052877 0.534124629080119 1 0.882005899705015 0.493023255813954 1
50 1 1 1 0.794326241134752 0.561624649859944 0.938556067588326 0.925925925925926 0.526315789473684 1 0.914634146341463 0.52827380952381 1
50 0 2 1 0.794326241134752 0.561624649859944 0.938556067588326 0.925925925925926 0.526315789473684 1 0.914634146341463 0.47172619047619 1
51 1 1 1 0.791726105563481 0.556643356643357 0.937984496124031 0.9375 0.524017467248908 1 0.886094674556213 0.524024024024024 1
51 0 2 1 0.791726105563481 0.556643356643357 0.937984496124031 0.9375 0.524017467248908 1 0.886094674556213 0.475975975975976 1
52 1 1 1 0.794034090909091 0.56145251396648 0.939721792890263 0.9375 0.521739130434783 1 0.883308714918759 0.50390015600624 1
52 0 2 1 0.794034090909091 0.56145251396648 0.939721792890263 0.9375 0.521739130434783 1 0.883308714918759 0.49609984399376 1
53 1 1 1 0.790664780763791 0.554621848739496 0.947530864197531 0.93603744149766 0.52863436123348 1 0.887573964497041 0.520361990950226 1
53 0 2 1 0.790664780763791 0.554621848739496 0.947530864197531 0.93603744149766 0.52863436123348 1 0.887573964497041 0.479638009049774 1
54 1 1 1 0.803443328550933 0.557262569832402 0.959876543209877 0.9375 0.527859237536657 1 0.883308714918759 0.511627906976744 1
54 0 2 1 0.803443328550933 0.557262569832402 0.959876543209877 0.9375 0.527859237536657 1 0.883308714918759 0.488372093023256 1
55 1 1 1 0.794579172610556 0.563300142247511 0.962674961119751 0.937402190923318 0.524017467248908 1 0.883308714918759 0.509345794392523 1
55 0 2 1 0.794579172610556 0.563300142247511 0.962674961119751 0.937402190923318 0.524017467248908 1 0.883308714918759 0.490654205607477 1
56 1 1 1 0.809941520467836 0.560839160839161 0.9390625 0.938967136150235 0.527086383601757 1 0.881381381381381 0.516819571865443 1
56 0 2 1 0.809941520467836 0.560839160839161 0.9390625 0.938967136150235 0.527086383601757 1 0.881381381381381 0.483180428134557 1
57 1 1 1 0.80431654676259 0.558533145275035 0.967542503863988 0.934477379095164 0.517341040462428 1 0.903614457831325 0.50547730829421 1
57 0 2 1 0.80431654676259 0.558533145275035 0.967542503863988 0.934477379095164 0.517341040462428 1 0.903614457831325 0.49452269170579 1
58 0 1 1 0.818181818181818 0.553370786516854 0.959627329192547 0.9375 0.523255813953488 1 0.881656804733728 0.505392912172573 1
58 1 2 1 0.818181818181818 0.553370786516854 0.959627329192547 0.9375 0.523255813953488 1 0.881656804733728 0.494607087827427 1
59 1 1 1 0.786931818181818 0.561181434599156 0.948598130841122 0.937402190923318 0.524017467248908 1 0.888059701492537 0.507064364207221 1
59 0 2 1 0.786931818181818 0.561181434599156 0.948598130841122 0.937402190923318 0.524017467248908 1 0.888059701492537 0.492935635792779 1
60 1 1 1 0.80316091954023 0.555240793201133 0.945987654320988 0.934477379095164 0.524017467248908 1 0.882089552238806 0.508371385083714 1
60 0 2 1 0.80316091954023 0.555240793201133 0.945987654320988 0.934477379095164 0.524017467248908 1 0.882089552238806 0.491628614916286 1
61 1 1 1 0.800287356321839 0.55177304964539 0.967391304347826 0.93603744149766 0.524781341107872 1 0.911719939117199 0.512121212121212 1
61 0 2 1 0.800287356321839 0.55177304964539 0.967391304347826 0.93603744149766 0.524781341107872 1 0.911719939117199 0.487878787878788 1
62 1 1 1 0.799713876967096 0.556338028169014 0.950078003120125 0.9375 0.524781341107872 1 0.882179675994109 0.510802469135803 1
62 0 2 1 0.799713876967096 0.556338028169014 0.950078003120125 0.9375 0.524781341107872 1 0.882179675994109 0.489197530864198 1
63 1 1 1 0.792560801144492 0.555710306406685 0.953703703703704 0.920122887864823 0.522496371552975 1 0.889716840536513 0.50392464678179 1
63 0 2 1 0.792560801144492 0.555710306406685 0.953703703703704 0.920122887864823 0.522496371552975 1 0.889716840536513 0.49607535321821 1
64 1 1 1 0.810419681620839 0.557880055788006 0.970542635658915 0.934579439252336 0.520984081041968 1 0.916030534351145 0.506191950464396 1
64 0 2 1 0.810419681620839 0.557880055788006 0.970542635658915 0.934579439252336 0.520984081041968 1 0.916030534351145 0.493808049535604 1
65 1 1 1 0.789473684210526 0.54957507082153 0.955038759689922 0.9375 0.520289855072464 1 0.927244582043344 0.528443113772455 1
65 0 2 1 0.789473684210526 0.54957507082153 0.955038759689922 0.9375 0.520289855072464 1 0.927244582043344 0.471556886227545 1
66 0 1 1 0.802023121387283 0.559774964838256 0.946564885496183 0.9375 0.520984081041968 1 0.910470409711684 0.500782472613459 1
66 1 2 1 0.802023121387283 0.559774964838256 0.946564885496183 0.9375 0.520984081041968 1 0.910470409711684 0.499217527386541 1
67 1 1 1 0.818448023426061 0.558659217877095 0.956589147286822 0.9375 0.52863436123348 1 0.922958397534669 0.53003003003003 1
67 0 2 1 0.818448023426061 0.558659217877095 0.956589147286822 0.9375 0.52863436123348 1 0.922958397534669 0.46996996996997 1
68 1 1 1 0.798571428571429 0.55177304964539 0.95405819295559 0.9375 0.521044992743106 0.9984375 0.898638426626324 0.50625 1
68 0 2 1 0.798571428571429 0.55177304964539 0.95405819295559 0.9375 0.521044992743106 0.9984375 0.898638426626324 0.49375 1
69 1 1 1 0.810294117647059 0.560393258426966 0.953775038520801 0.9375 0.536512667660209 0.9984375 0.91324200913242 0.513056835637481 1
69 0 2 1 0.810294117647059 0.560393258426966 0.953775038520801 0.9375 0.536512667660209 0.9984375 0.91324200913242 0.486943164362519 1
70 1 1 1 0.793741109530583 0.558368495077356 0.961832061068702 0.9375 0.526315789473684 1 0.920245398773006 0.509984639016897 1
70 0 2 1 0.793741109530583 0.558368495077356 0.961832061068702 0.9375 0.526315789473684 1 0.920245398773006 0.490015360983103 1
71 1 1 1 0.793201133144476 0.558988764044944 0.947449768160742 0.9375 0.522496371552975 1 0.90210843373494 0.52914798206278 1
71 0 2 1 0.793201133144476 0.558988764044944 0.947449768160742 0.9375 0.522496371552975 1 0.90210843373494 0.47085201793722 1
72 1 1 1 0.794034090909091 0.563282336578581 0.939346811819596 0.9375 0.523255813953488 1 0.918836140888208 0.50855365474339 1
72 0 2 1 0.794034090909091 0.563282336578581 0.939346811819596 0.9375 0.523255813953488 1 0.918836140888208 0.49144634525661 1
