"expNo" "verdict" "P1" "P2" "NP1" "NP2" "NPdiff"
1 0 0.191021789600525 0.141836538386019 0.573883161512027 0.426116838487973 0.147766323024053
2 1 0.150715164593917 0.100347628868444 0.600308641975307 0.399691358024693 0.200617283950615
3 1 0.10737783964012 0.0979746954908435 0.522895125553915 0.477104874446085 0.045790251107831
4 1 0.11891092112586 0.0919752981083997 0.56386292834891 0.43613707165109 0.127725856697821
5 1 0.121275414956222 0.0946621988963845 0.561622464898596 0.438377535101404 0.123244929797191
6 1 0.0884674842021055 0.0827599045761632 0.516666666666667 0.483333333333333 0.0333333333333333
7 0 0.101699478015274 0.0920138134423909 0.525 0.475 0.0499999999999992
8 0 0.0934504937572623 0.0818015402418141 0.533234859675037 0.466765140324963 0.0664697193500738
9 0 0.0970197065951044 0.0857320953014912 0.530882352941176 0.469117647058824 0.0617647058823526
10 0 0.0873782791970991 0.077859416379538 0.528803545051699 0.471196454948301 0.0576070901033975
11 0 0.0889327385324168 0.0692982378174677 0.562043795620438 0.437956204379562 0.124087591240875
12 0 0.0869390816388887 0.0779285885838778 0.527326440177253 0.472673559822747 0.0546528803545053
13 0 0.0986607705833018 0.0879427481522467 0.528718703976436 0.471281296023564 0.0574374079528721
14 0 0.0926698603964274 0.0816924389169608 0.531478770131772 0.468521229868228 0.0629575402635431
15 0 0.0816156190157375 0.0721464035498233 0.530791788856305 0.469208211143695 0.0615835777126093
16 0 0.0899836620746575 0.0797639109803058 0.530102790014684 0.469897209985316 0.0602055800293686
17 0 0.0947603166408944 0.0844660204041399 0.528718703976436 0.471281296023564 0.0574374079528716
18 0 0.0959012147167032 0.0840777772858767 0.532846715328467 0.467153284671533 0.0656934306569347
19 0 0.0956576304681574 0.0845592313530673 0.530791788856305 0.469208211143695 0.06158357771261
20 0 0.101368906367194 0.0886977930712951 0.533333333333332 0.466666666666668 0.0666666666666647
21 0 0.105703606121202 0.0841142754280119 0.556868537666175 0.443131462333825 0.11373707533235
22 0 0.11148999422202 0.0755683970383144 0.59601706970128 0.40398293029872 0.19203413940256
23 1 0.0894055777527493 0.0894055777527493 0.5 0.5 0
24 1 0.0924469306563345 0.0924469306563345 0.5 0.5 0
25 0 0.0921717016072009 0.0918827621037301 0.500784929356358 0.499215070643642 0.00156985871271553
26 1 0.092480707296964 0.092480707296964 0.5 0.5 0
27 1 0.0915909077396038 0.0915909077396038 0.5 0.5 0
28 1 0.0931981714351764 0.0929069271494415 0.500782472613458 0.499217527386542 0.00156494522691691
29 1 0.0921014300837945 0.0921014300837945 0.5 0.5 0
30 0 0.0927527868213492 0.0892961612255225 0.509493670886076 0.490506329113924 0.0189873417721521
31 1 0.0918116951167633 0.0918116951167633 0.5 0.5 0
32 0 0.0915313813255239 0.0912453457588816 0.500782472613459 0.499217527386541 0.00156494522691719
33 1 0.0933798605741951 0.0933798605741951 0.5 0.5 0
34 0 0.0947784955995867 0.0918622341965225 0.5078125 0.4921875 0.015625
35 0 0.0940166682410606 0.0937219451431263 0.500784929356358 0.499215070643642 0.00156985871271553
36 1 0.0946495770490687 0.0946495770490687 0.5 0.5 0
37 1 0.0924308315754134 0.0924308315754134 0.5 0.5 0
38 1 0.0894063902165629 0.0894063902165629 0.5 0.5 0
39 1 0.0931311578136546 0.0931311578136546 0.5 0.5 0
40 0 0.0908201461198304 0.0905363331632059 0.500782472613459 0.499217527386541 0.00156494522691725
41 1 0.0940752343131802 0.0940752343131802 0.5 0.5 0
42 1 0.087865520583698 0.087865520583698 0.5 0.5 0
43 1 0.0922207609338463 0.0922207609338463 0.5 0.5 0
44 1 0.0902049382421717 0.0902049382421717 0.5 0.5 0
45 0 0.0950969853109968 0.0945026291528031 0.501567398119122 0.498432601880878 0.00313479623824447
46 0 0.091525582251079 0.0912395648065444 0.500782472613458 0.499217527386542 0.00156494522691691
47 1 0.0926257083979109 0.0926257083979109 0.5 0.5 0
48 1 0.089362408237008 0.089362408237008 0.5 0.5 0
49 1 0.0920915000099578 0.0920915000099578 0.5 0.5 0
50 0 0.0898428622574896 0.0892813443683803 0.501567398119122 0.498432601880878 0.00313479623824442
51 1 0.0919117967909951 0.0919117967909951 0.5 0.5 0
52 1 0.0965173321569819 0.0965173321569819 0.5 0.5 0
53 0 0.0927072263800926 0.0924175162976548 0.500782472613459 0.499217527386541 0.00156494522691714
54 0 0.0965207831819772 0.0962200953839025 0.500780031201248 0.499219968798752 0.00156006240249618
55 1 0.0913484033642238 0.0913484033642238 0.5 0.5 0
56 1 0.0932424708837342 0.0929510881622226 0.500782472613458 0.499217527386542 0.00156494522691669
57 1 0.0922360644457318 0.0922360644457318 0.5 0.5 0
