"expNo" "verdict" "rank" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10"
45 0 1 1 0.688372093023256 0.497667185069984 0.93343653250774 0.859030837004405 1 0.882005899705015 0.782546494992847 0.501567398119122 1
45 1 2 1 0.688372093023256 0.497667185069984 0.93343653250774 0.859030837004405 1 0.882005899705015 0.782546494992847 0.498432601880878 1
46 0 1 1 0.686821705426357 0.494556765163297 0.932330827067669 0.848617176128093 1 0.882179675994109 0.770893371757925 0.500782472613459 1
46 1 2 1 0.686821705426357 0.494556765163297 0.932330827067669 0.848617176128093 1 0.882179675994109 0.770893371757925 0.499217527386541 1
47 1 1 1 0.691107644305772 0.491525423728814 0.937219730941704 0.856083086053412 1 0.881831610044313 0.770773638968481 0.5 1
47 0 2 1 0.691107644305772 0.491525423728814 0.937219730941704 0.856083086053412 1 0.881831610044313 0.770773638968481 0.5 1
48 1 1 1 0.69242658423493 0.474702380952381 0.937791601866252 0.848973607038123 1 0.881831610044313 0.774468085106383 0.5 1
48 0 2 1 0.69242658423493 0.474702380952381 0.937791601866252 0.848973607038123 1 0.881831610044313 0.774468085106383 0.5 1
49 1 1 1 0.690402476780186 0.488514548238897 0.937869822485207 0.863298662704309 1 0.880354505169867 0.766140602582496 0.5 1
49 0 2 1 0.690402476780186 0.488514548238897 0.937869822485207 0.863298662704309 1 0.880354505169867 0.766140602582496 0.5 1
50 0 1 1 0.689922480620155 0.487767584097859 0.933125972006221 0.847953216374269 1 0.881831610044313 0.762857142857143 0.501567398119122 1
50 1 2 1 0.689922480620155 0.487767584097859 0.933125972006221 0.847953216374269 1 0.881831610044313 0.762857142857143 0.498432601880878 1
51 1 1 1 0.686728395061728 0.496124031007752 0.935007385524372 0.850591715976331 1 0.881305637982196 0.769774011299435 0.5 1
51 0 2 1 0.686728395061728 0.496124031007752 0.935007385524372 0.850591715976331 1 0.881305637982196 0.769774011299435 0.5 1
52 1 1 1 0.689922480620155 0.491551459293395 0.929906542056075 0.871064467766117 1 0.882179675994109 0.796561604584527 0.5 1
52 0 2 1 0.689922480620155 0.491551459293395 0.929906542056075 0.871064467766117 1 0.882179675994109 0.796561604584527 0.5 1
53 0 1 1 0.685496183206107 0.493827160493827 0.9359375 0.868065967016492 1 0.882179675994109 0.763005780346821 0.500782472613459 1
53 1 2 1 0.685496183206107 0.493827160493827 0.9359375 0.868065967016492 1 0.882179675994109 0.763005780346821 0.499217527386541 1
54 0 1 1 0.690031152647975 0.496894409937888 0.929984779299848 0.873303167420814 1 0.881831610044313 0.784900284900285 0.500780031201248 1
54 1 2 1 0.690031152647975 0.496894409937888 0.929984779299848 0.873303167420814 1 0.881831610044313 0.784900284900285 0.499219968798752 1
55 1 1 1 0.688372093023256 0.495356037151703 0.937313432835821 0.842182890855457 1 0.882352941176471 0.769230769230769 0.5 1
55 0 2 1 0.688372093023256 0.495356037151703 0.937313432835821 0.842182890855457 1 0.882352941176471 0.769230769230769 0.5 1
56 1 1 1 0.690402476780186 0.477544910179641 0.9359375 0.873873873873874 1 0.882352941176471 0.782546494992847 0.500782472613459 1
56 0 2 1 0.690402476780186 0.477544910179641 0.9359375 0.873873873873874 1 0.882352941176471 0.782546494992847 0.499217527386541 1
57 1 1 1 0.6875 0.488549618320611 0.93125 0.859030837004405 1 0.882352941176471 0.778093883357041 0.5 1
57 0 2 1 0.6875 0.488549618320611 0.93125 0.859030837004405 1 0.882352941176471 0.778093883357041 0.5 1
