"P1" "P2" "P3" "P4" "P5" "P6" "P7"
1 0.835889570552147 0.447882736156352 0.594548551959114 0.682675814751286 0.916949152542373 1
1 0.835889570552147 0.431596091205212 0.719928186714542 0.93698175787728 0.916949152542373 1
1 0.835889570552147 0.447882736156352 0.403747870528109 0.912310286677909 0.92560553633218 1
1 0.835889570552147 0.447882736156352 0.403747870528109 0.075885328836425 0.988527724665392 1
1 0.835889570552147 0.447882736156352 0.403747870528109 0.0118043844856661 0.8 1
1 0.835889570552147 0.431596091205212 0.719928186714542 0.0630182421227197 0.756260434056761 1
1 0.835889570552147 0.447882736156352 0.594548551959114 0.259005145797599 0.756260434056761 1
1 0.835889570552147 0.447882736156352 0.594548551959114 0.0583190394511149 0.96455223880597 1
1 0.835889570552147 0.447882736156352 0.594548551959114 0.0583190394511149 0.0354477611940298 1
1 0.835889570552147 0.447882736156352 0.594548551959114 0.259005145797599 0.243739565943239 1
1 0.835889570552147 0.431596091205212 0.719928186714542 0.0630182421227197 0.243739565943239 1
1 0.835889570552147 0.447882736156352 0.403747870528109 0.0118043844856661 0.2 1
1 0.835889570552147 0.447882736156352 0.403747870528109 0.075885328836425 0.011472275334608 1
1 0.835889570552147 0.447882736156352 0.403747870528109 0.912310286677909 0.0743944636678201 1
1 0.835889570552147 0.431596091205212 0.719928186714542 0.93698175787728 0.0830508474576271 1
1 0.835889570552147 0.447882736156352 0.594548551959114 0.682675814751286 0.0830508474576271 1
