"P1" "P2" "P3" "P4" "P5" "P6" "P7"
1 0.872894333843798 0.440384615384615 0.810408921933085 0.836660617059891 0.88021778584392 1
1 0.872894333843798 0.342307692307692 0.575389948006932 0.638376383763838 0.88021778584392 1
1 0.872894333843798 0.342307692307692 0.575389948006932 0.361623616236162 0.74442538593482 1
1 0.872894333843798 0.440384615384615 0.810408921933085 0.134301270417423 0.74442538593482 1
1 0.872894333843798 0.440384615384615 0.810408921933085 0.029038112522686 0.912280701754386 1
1 0.872894333843798 0.440384615384615 0.810408921933085 0.029038112522686 0.087719298245614 1
1 0.872894333843798 0.440384615384615 0.810408921933085 0.134301270417423 0.25557461406518 1
1 0.872894333843798 0.342307692307692 0.575389948006932 0.361623616236162 0.25557461406518 1
1 0.872894333843798 0.342307692307692 0.575389948006932 0.638376383763838 0.11978221415608 1
1 0.872894333843798 0.440384615384615 0.810408921933085 0.836660617059891 0.11978221415608 1
