"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
13 "150" "90" "143" "94" "140" 152 0.322468250079314 0.322468250079314
13 "152" "150" "90" "143" "94" 140 0.191900962361051 0.191900962361051
13 "152" "150" "90" "94" "140" 143 0.0296965460022089 0.0296965460022089
13 "152" "150" "90" "140" "94" 143 0.0111151792960946 0.0111151792960946
13 "150" "90" "143" "140" "94" 152 0.0777143051725788 0.0777143051725788
13 "150" "90" "143" "152" "140" 94 0.000526938742373796 0.000526938742373796
13 "150" "90" "143" "152" "94" 140 0.000100431393967283 0.000100431393967283
13 "150" "90" "143" "140" "152" 94 0.00509855282444354 0.00509855282444354
13 "152" "150" "90" "140" "143" 94 0.000596639842931517 0.000596639842931517
13 "152" "150" "90" "94" "143" 140 0.00641489634312148 0.00641489634312148
13 "152" "150" "90" "143" "140" 94 0.0496553073813615 0.0496553073813615
