"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
13 "150" "90" "143" "94" "140" 152 0.300146183653662 0.300146183653662
13 "152" "150" "90" "143" "94" 140 0.13601894594373 0.13601894594373
13 "152" "150" "90" "140" "94" 143 0.0154461001533285 0.0154461001533285
13 "152" "150" "90" "94" "140" 143 0.00288652425028585 0.00288652425028585
13 "150" "90" "143" "140" "94" 152 0.0988487702634699 0.0988487702634699
13 "150" "90" "143" "152" "140" 94 0.000463253178467894 0.000463253178467894
13 "150" "90" "143" "152" "94" 140 0.000151800476560101 0.000151800476560101
13 "150" "90" "143" "140" "152" 94 0.00509529743626134 0.00509529743626134
13 "152" "150" "90" "94" "143" 140 0.000575174573857696 0.000575174573857696
13 "152" "150" "90" "140" "143" 94 0.000477714437731809 0.000477714437731809
13 "152" "150" "90" "143" "140" 94 0.0471049218534637 0.0471049218534637
