"P1" "P2" "P3" "P4" "P5" "P6" "P7"
1 0.637614678899083 0.701908957415565 0.904273504273504 0.741641337386018 1 1
1 0.362385321100917 0.770428015564202 0.725341426403642 0.904273504273504 0.742770167427702 1
1 0.362385321100917 0.770428015564202 0.725341426403642 0.0786324786324786 0.97 1
1 0.362385321100917 0.770428015564202 0.725341426403642 0.0170940170940171 0.833846153846154 1
1 0.637614678899083 0.701908957415565 0.904273504273504 0.256838905775076 0.950980392156863 1
1 0.637614678899083 0.701908957415565 0.904273504273504 0.00151975683890578 0.753191489361702 1
1 0.637614678899083 0.701908957415565 0.904273504273504 0.00151975683890578 0.246808510638298 1
1 0.637614678899083 0.701908957415565 0.904273504273504 0.256838905775076 0.0490196078431373 1
1 0.362385321100917 0.770428015564202 0.725341426403642 0.0170940170940171 0.166153846153846 1
1 0.362385321100917 0.770428015564202 0.725341426403642 0.0786324786324786 0.03 1
1 0.362385321100917 0.770428015564202 0.725341426403642 0.904273504273504 0.257229832572298 1
