"P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10"
1 0.561919504643963 0.595238095238095 0.576319543509273 0.557603686635945 1 0.9375 0.702898550724638 0.561815336463224 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.9375 0.702898550724638 0.5609375 1 1
1 0.561919504643963 0.404761904761905 0.93125 0.794202898550725 1 0.9375 0.702898550724638 0.561815336463224 1
1 0.561919504643963 0.595238095238095 0.390870185449358 0.879699248120301 0.9375 0.702898550724638 0.561815336463224 1 1
1 0.561919504643963 0.595238095238095 0.390870185449358 0.879699248120301 0.0625 0.900332225913621 0.937402190923318 1 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.0625 0.900332225913621 0.937402190923318 0.9984375 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.0625 0.0980066445182724 0.588839941262849 0.893871449925262 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.0625 0.00166112956810631 0.766423357664234 0.9984375 1
1 0.561919504643963 0.595238095238095 0.390870185449358 0.879699248120301 0.0625 0.0980066445182724 0.589705882352941 0.515015015015015 1
1 0.561919504643963 0.595238095238095 0.390870185449358 0.879699248120301 0.0625 0.00166112956810631 0.719101123595506 1 1
1 0.561919504643963 0.595238095238095 0.390870185449358 0.879699248120301 0.9375 0.231884057971014 1 0.996551724137931 1
1 0.561919504643963 0.595238095238095 0.390870185449358 0.879699248120301 0.9375 0.0652173913043478 0.900332225913621 1 1
1 0.561919504643963 0.404761904761905 0.93125 0.794202898550725 1 0.0625 0.900332225913621 0.937402190923318 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.9375 0.231884057971014 1 1 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.9375 0.0652173913043478 0.900332225913621 1 1
1 0.561919504643963 0.595238095238095 0.576319543509273 0.557603686635945 1 0.0625 0.900332225913621 0.937402190923318 1
1 0.561919504643963 0.595238095238095 0.576319543509273 0.557603686635945 1 0.0625 0.0980066445182724 0.589705882352941 1
1 0.561919504643963 0.595238095238095 0.576319543509273 0.557603686635945 1 0.0625 0.00166112956810631 0.766423357664234 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.9375 0.0652173913043478 0.0996677740863787 0.9984375 1
1 0.561919504643963 0.404761904761905 0.93125 0.794202898550725 1 0.0625 0.0980066445182724 0.589705882352941 1
1 0.561919504643963 0.404761904761905 0.93125 0.794202898550725 1 0.0625 0.00166112956810631 0.766423357664234 1
1 0.561919504643963 0.595238095238095 0.390870185449358 0.879699248120301 0.9375 0.0652173913043478 0.0996677740863787 1 1
1 0.561919504643963 0.595238095238095 0.390870185449358 0.879699248120301 0.0625 0.00166112956810631 0.224719101123595 1 1
1 0.561919504643963 0.595238095238095 0.390870185449358 0.879699248120301 0.0625 0.00166112956810631 0.0561797752808989 0.88255033557047 1
1 0.561919504643963 0.595238095238095 0.390870185449358 0.879699248120301 0.0625 0.0980066445182724 0.410294117647059 1 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.0625 0.00166112956810631 0.233576642335766 1 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.0625 0.0980066445182724 0.409691629955947 1 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.0625 0.0980066445182724 0.00146842878120411 0.985197368421053 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.0625 0.900332225913621 0.0625978090766823 0.941087613293051 1
1 0.561919504643963 0.595238095238095 0.390870185449358 0.879699248120301 0.0625 0.900332225913621 0.0625978090766823 0.880059970014992 1
1 0.561919504643963 0.595238095238095 0.390870185449358 0.879699248120301 0.9375 0.702898550724638 0.438184663536776 0.998257839721254 1
1 0.561919504643963 0.404761904761905 0.93125 0.794202898550725 1 0.9375 0.231884057971014 1 1
1 0.561919504643963 0.404761904761905 0.93125 0.794202898550725 1 0.9375 0.0652173913043478 0.900332225913621 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.9375 0.702898550724638 0.4375 1 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.9375 0.702898550724638 0.0015625 0.502347417840376 1
1 0.561919504643963 0.595238095238095 0.576319543509273 0.557603686635945 1 0.9375 0.231884057971014 1 1
1 0.561919504643963 0.595238095238095 0.576319543509273 0.557603686635945 1 0.9375 0.0652173913043478 0.900332225913621 1
1 0.561919504643963 0.595238095238095 0.576319543509273 0.557603686635945 1 0.9375 0.0652173913043478 0.0996677740863787 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.9375 0.702898550724638 0.0015625 0.497652582159624 1
1 0.561919504643963 0.404761904761905 0.93125 0.794202898550725 1 0.9375 0.0652173913043478 0.0996677740863787 1
1 0.561919504643963 0.595238095238095 0.390870185449358 0.879699248120301 0.9375 0.702898550724638 0.438184663536776 0.00174216027874564 1
1 0.561919504643963 0.595238095238095 0.390870185449358 0.879699248120301 0.0625 0.900332225913621 0.0625978090766823 0.119940029985007 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.0625 0.900332225913621 0.0625978090766823 0.0589123867069486 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.0625 0.0980066445182724 0.00146842878120411 0.0148026315789474 1
1 0.561919504643963 0.595238095238095 0.390870185449358 0.879699248120301 0.0625 0.00166112956810631 0.0561797752808989 0.11744966442953 1
1 0.561919504643963 0.404761904761905 0.93125 0.794202898550725 1 0.0625 0.00166112956810631 0.233576642335766 1
1 0.561919504643963 0.404761904761905 0.93125 0.794202898550725 1 0.0625 0.0980066445182724 0.410294117647059 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.9375 0.0652173913043478 0.0996677740863787 0.0015625 1
1 0.561919504643963 0.595238095238095 0.576319543509273 0.557603686635945 1 0.0625 0.00166112956810631 0.233576642335766 1
1 0.561919504643963 0.595238095238095 0.576319543509273 0.557603686635945 1 0.0625 0.0980066445182724 0.410294117647059 1
1 0.561919504643963 0.595238095238095 0.576319543509273 0.557603686635945 1 0.0625 0.900332225913621 0.0625978090766823 1
1 0.561919504643963 0.404761904761905 0.93125 0.794202898550725 1 0.0625 0.900332225913621 0.0625978090766823 1
1 0.561919504643963 0.595238095238095 0.390870185449358 0.879699248120301 0.9375 0.231884057971014 1 0.00344827586206897 1
1 0.561919504643963 0.595238095238095 0.390870185449358 0.879699248120301 0.0625 0.0980066445182724 0.589705882352941 0.484984984984985 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.0625 0.00166112956810631 0.766423357664234 0.0015625 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.0625 0.0980066445182724 0.588839941262849 0.106128550074738 1
1 0.438080495356037 0.760180995475113 0.546742209631728 0.942477876106195 0.0625 0.900332225913621 0.937402190923318 0.0015625 1
1 0.561919504643963 0.404761904761905 0.93125 0.794202898550725 1 0.9375 0.702898550724638 0.438184663536776 1
1 0.561919504643963 0.595238095238095 0.576319543509273 0.557603686635945 1 0.9375 0.702898550724638 0.438184663536776 1
